sample_id,source_id,paper_id,province,city_or_region,latitude,longitude,matrix,x_measured_SumPFAS_ngg,audit_flag
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_49,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Henan,Luohe,33.57916667,114.115,soil,0.34445896008681864,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_50,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Henan,Luoyang,34.76305556,112.1080556,soil,0.4115476397295421,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_51,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Henan,Zhengzhou,34.80166667,112.9780556,soil,0.14808932359544885,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_52,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Jiangxi,Shangrao,28.73611111,116.8830556,soil,0.1308740125242437,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_53,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Jiangxi,Fuzhou,28.12638889,116.2669444,soil,0.2660347974743344,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_54,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Jiangxi,Jingdezhen,28.87805556,117.2491667,soil,0.5743013904657438,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_55,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Jiangxi,Jiujiang,29.74083333,115.5088889,soil,8.331517421228428,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_56,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Jiangxi,Yingtan,28.38027778,116.8655556,soil,0.6113649048744947,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_57,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Jiangxi,Nanchang,28.90388889,115.8066667,soil,0.6395129367579455,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_58,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Sichuan,Liangshan,26.628483,102.579537,soil,0.316300855195968,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_59,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Sichuan,Bazhong,31.70361111,106.5416667,soil,0.3007670975841763,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_60,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Sichuan,Dazhou,31.89722222,108.1208333,soil,0.23940921929773012,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_61,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Sichuan,Suining,30.62166667,105.3738889,soil,0.4202794066209049,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_62,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Sichuan,Yaan,29.78805556,102.8597222,soil,0.5927217399713758,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_63,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Sichuan,Leshan,29.555375,103.76133,soil,0.41509134686724747,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_64,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Sichuan,Panzhihua,26.50361111,101.7927778,soil,0.070225,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_65,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Liaoning,Tieling,43.02944444,124.2797222,soil,0.35880302369317624,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_66,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Liaoning,Huludao,40.19027778,120.1097222,soil,0.5291806008661577,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_67,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Liaoning,Anshan,41.14416667,122.8877778,soil,1.1370765281253394,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_68,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Liaoning,Shenyang,41.54472222,122.7472222,soil,0.35099252652336155,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_69,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Liaoning,Panjin,41.28222222,121.9630556,soil,1.0783343763135018,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_70,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Liaoning,Dalian,39.99027778,122.6822222,soil,0.3933811188459611,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_71,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Hunan,Shaoyang,27.04305556,110.5902778,soil,0.2968514459717872,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_72,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Hunan,Huaihua,27.31805556,109.8602778,soil,0.34281854936104944,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_73,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Hunan,Loudi,27.41861111,111.9736111,soil,0.6434040225571326,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_74,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Hunan,Yueyang,28.96722222,113.2527778,soil,0.5910914756259213,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_75,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Hunan,Changsha,28.09611111,112.7758333,soil,1.779433361408934,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_76,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Anhui,Fuyang,33.23472222,115.5575,soil,0.07991749238258113,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_77,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Anhui,Huainan,32.6475,116.61,soil,0.965380276250266,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_78,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Anhui,Huangshan,29.50083333,118.1536111,soil,0.9311317244208948,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_79,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Anhui,Chuzhou,32.36972222,117.4327778,soil,0.3306690923605751,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_80,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Anhui,Hefei,32.40361111,117.2316667,soil,0.7285797940890758,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_81,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Shaanxi,Baoji,34.32611111,107.0991667,soil,0.5930300767097859,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_82,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Shaanxi,Ankang,32.58638889,108.6288889,soil,0.543225378946249,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_83,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Shaanxi,Hanzhong,34.56833333,109.0377778,soil,0.48484166666666667,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_84,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Shaanxi,Xian,32.28277778,108.1422222,soil,0.133810048390076,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_85,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Shaanxi,Suide,37.57444444,110.4913889,soil,0.3362476462528596,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_86,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Shaanxi,Dingbian,37.52416667,108.0591667,soil,0.291351109863643,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_87,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,ShanDong,Heze,35.01777778,116.0575,soil,0.753131982622813,si_native_table_verified
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_88,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,ShanDong,Taian,35.93166667,116.3694444,soil,0.7393547774704496,si_native_table_verified
