column,detected_unit,canonical,conflict
PCB123_ngg,ngg,ngg,False
PCB126_ngg,ngg,ngg,False
PCB156_ngg,ngg,ngg,False
PCB157_ngg,ngg,ngg,False
PCB167_ngg,ngg,ngg,False
PCB169_ngg,ngg,ngg,False
PCB189_ngg,ngg,ngg,False
SumPAE_ngg,ngg,ngg,False
SumPBB_ngg,ngg,ngg,False
PBDE209_ngg,ngg,ngg,False
Sum47PAH_ngg,ngg,ngg,False
Sum26alkylPAH_ngg,ngg,ngg,False
DMEP_ugkg,ugkg,ugkg,False
DPP_ugkg,ugkg,ugkg,False
DPHP_ugkg,ugkg,ugkg,False
DNP_ugkg,ugkg,ugkg,False
DCHP_ugkg,ugkg,ugkg,False
PFBA_ngg,ngg,ngg,False
PFPeA_ngg,ngg,ngg,False
PFHxA_ngg,ngg,ngg,False
PFHpA_ngg,ngg,ngg,False
PFOA_ngg,ngg,ngg,False
PFNA_ngg,ngg,ngg,False
PFDA_ngg,ngg,ngg,False
PFBS_ngg,ngg,ngg,False
PFHxS_ngg,ngg,ngg,False
PFOS_ngg,ngg,ngg,False
RAP_mgkg,mgkg,mgkg,False
c_HCH_ngg,ngg,ngg,False
In_mgkg,mgkg,mgkg,False
Cs_mgkg,mgkg,mgkg,False
DOP_ugkg,ugkg,ugkg,False
BgP_ngg,ngg,ngg,False
InP_ngg,ngg,ngg,False
HCBD_ngg,ngg,ngg,False
DiBP_mgkg,mgkg,mgkg,False
DnBP_mgkg,mgkg,mgkg,False
DEP_mgkg,mgkg,mgkg,False
BBP_mgkg,mgkg,mgkg,False
DMP_mgkg,mgkg,mgkg,False
DnOP_mgkg,mgkg,mgkg,False
Self_defined_AN_mgkg,mgkg,mgkg,False
Self_defined_AP_mgkg,mgkg,mgkg,False
PBT_ngg,ngg,ngg,False
SumPFAAs_ngg,ngg,ngg,False
SumAlternatives_ngg,ngg,ngg,False
SumPFAS_max_ngg,ngg,ngg,False
PFUnDA_ngg,ngg,ngg,False
PFDoDA_ngg,ngg,ngg,False
HFPO_DA_ngg,ngg,ngg,False
F53B_ngg,ngg,ngg,False
6_2FTS_ngg,ngg,ngg,False
3-ClFlu_ngg,ngg,ngg,False
8-ClFlu_ngg,ngg,ngg,False
1-ClPyr_ngg,ngg,ngg,False
7-ClBaA_ngg,ngg,ngg,False
6-ClBaP_ngg,ngg,ngg,False
"3,9-Cl2Phe_ngg",ngg,ngg,False
9-ClPhe_ngg,ngg,ngg,False
"9,10-Cl2Phe_ngg",ngg,ngg,False
"9,10-Cl2Ant_1,9-Cl2Phe_ngg",ngg,ngg,False
9-ClAnt_ngg,ngg,ngg,False
OCP_SumHCH_ngg,ngg,ngg,False
OCP_SumDDT_ngg,ngg,ngg,False
SumAntibiotics_SA_ngg,ngg,ngg,False
SumAntibiotics_QU_ngg,ngg,ngg,False
SumAntibiotics_TC_ngg,ngg,ngg,False
SumPAE_DEHP_ngg,ngg,ngg,False
SumPAE_DnBP_ngg,ngg,ngg,False
Endrin aldehyde_mgkg,mgkg,mgkg,False
Endosulfan_II_mgkg,mgkg,mgkg,False
Aldrin_ngg,ngg,ngg,False
Endrin_ngg,ngg,ngg,False
Endosulfan_I_ngg,ngg,ngg,False
Endosulfan_II_ngg,ngg,ngg,False
Methoxychlor_ngg,ngg,ngg,False
Heptachlor_epoxide_ngg,ngg,ngg,False
SumHCH_ngg,ngg,ngg,False
SumDDT_ngg,ngg,ngg,False
Any_ngg,ngg,ngg,False
IcdP_ngg,ngg,ngg,False
NH4_mgkg,mgkg,mgkg,False
Saltness_mgkg,mgkg,mgkg,False
SumPAH_ngg,ngg,ngg,False
Dieldrin_ngg,ngg,ngg,False
SumDRINs_ngg,ngg,ngg,False
CisChlordane_ngg,ngg,ngg,False
TransChlordane_ngg,ngg,ngg,False
SumChlordanes_ngg,ngg,ngg,False
AlphaEndosulfan_ngg,ngg,ngg,False
BetaEndosulfan_ngg,ngg,ngg,False
SumEndosulfans_ngg,ngg,ngg,False
PCB66_ngg,ngg,ngg,False
PCB70_ngg,ngg,ngg,False
PCB74_ngg,ngg,ngg,False
PCB87_ngg,ngg,ngg,False
PCB99_ngg,ngg,ngg,False
PCB141_ngg,ngg,ngg,False
PCB185_ngg,ngg,ngg,False
PCB194_ngg,ngg,ngg,False
PCB44_ngg,ngg,ngg,False
TPH_mgkg,mgkg,mgkg,False
W_mgkg,mgkg,mgkg,False
SumcPAH_ngg,ngg,ngg,False
DTPA_Pb_mgkg,mgkg,mgkg,False
Y_mgkg,mgkg,mgkg,False
Flo_ngg,ngg,ngg,False
SumDDTs_mgkg,mgkg,mgkg,False
SumHCHs_mgkg,mgkg,mgkg,False
DBP_mgkg,mgkg,mgkg,False
DNOP_mgkg,mgkg,mgkg,False
SumPAE_mgkg,mgkg,mgkg,False
Dep_mgkg,mgkg,mgkg,False
Heptachlor_endo_epoxide_ngg,ngg,ngg,False
A_Endosulfan_ngg,ngg,ngg,False
B_Endosulfan_ngg,ngg,ngg,False
Endosulfan_sulfate_ngg,ngg,ngg,False
Endrin_ketone_ngg,ngg,ngg,False
TSS_mgkg,mgkg,mgkg,False
LOI_mgkg,mgkg,mgkg,False
BTBPE_ngg,ngg,ngg,False
Sum7PAH_mgkg,mgkg,mgkg,False
SumBPAH_mgkg,mgkg,mgkg,False
TC_ngg,ngg,ngg,False
CC_ngg,ngg,ngg,False
EndosulfanSulfate_ngg,ngg,ngg,False
IP_mgkg,mgkg,mgkg,False
DOC_mgkg,mgkg,mgkg,False
DnHP_ugkg,ugkg,ugkg,False
Available_N_mgkg,mgkg,mgkg,False
Available_P_mgkg,mgkg,mgkg,False
Available_K_mgkg,mgkg,mgkg,False
SumOPEs_ngg,ngg,ngg,False
Benzene_ugkg,ugkg,ugkg,False
C10_40_mgkg,mgkg,mgkg,False
DCM_ugkg,ugkg,ugkg,False
6_OH_BDE_47_ngg,ngg,ngg,False
NA_ngg,ngg,ngg,False
PCB149_ngg,ngg,ngg,False
PCB170_ngg,ngg,ngg,False
PCB31_ngg,ngg,ngg,False
PCB18_ngg,ngg,ngg,False
PCB20_ngg,ngg,ngg,False
DnBP_ugkg,ugkg,ugkg,False
MnBP_ugkg,ugkg,ugkg,False
MEHP_ugkg,ugkg,ugkg,False
TCA_mgkg,mgkg,mgkg,False
Xyl_ngg,ngg,ngg,False
FOSA_ngg,ngg,ngg,False
Total_Bicyclic_Aromatics_mgkg,mgkg,mgkg,False
Total_Tricyclic_Aromatics_mgkg,mgkg,mgkg,False
Total_Tetracyclic_Aromatics_mgkg,mgkg,mgkg,False
Total_Pentacyclic_Aromatics_mgkg,mgkg,mgkg,False
ANAPs_ngg,ngg,ngg,False
APHEs_ngg,ngg,ngg,False
2MANT_ngg,ngg,ngg,False
C1FLU_ngg,ngg,ngg,False
C1FLA_ngg,ngg,ngg,False
C1PYR_ngg,ngg,ngg,False
7MBaP_ngg,ngg,ngg,False
SumAPAH_ngg,ngg,ngg,False
Sum_ngg,ngg,ngg,False
TFA_ngg,ngg,ngg,False
HFIP_ngg,ngg,ngg,False
NTf2_ngg,ngg,ngg,False
6:2 FTAB_ngg,ngg,ngg,False
R_HCH_ngg,ngg,ngg,False
SumPBDD_F_ngg,ngg,ngg,False
Tph_mgkg,mgkg,mgkg,False
SumCarc_ngg,ngg,ngg,False
SumLMWPAH_ngg,ngg,ngg,False
SumMMWPAH_ngg,ngg,ngg,False
SumHMWPAH_ngg,ngg,ngg,False
BDE197_ngg,ngg,ngg,False
BDE7_ngg,ngg,ngg,False
BDE15_ngg,ngg,ngg,False
BDE28_33_ngg,ngg,ngg,False
BDE49_ngg,ngg,ngg,False
BDE66_ngg,ngg,ngg,False
BDE77_ngg,ngg,ngg,False
BDE85_ngg,ngg,ngg,False
BDE119_ngg,ngg,ngg,False
BDE203_ngg,ngg,ngg,False
BDE3_ngg,ngg,ngg,False
BDE71_ngg,ngg,ngg,False
BDE126_ngg,ngg,ngg,False
MMWPAH_ngg,ngg,ngg,False
Cr_max_mgkg,mgkg,mgkg,False
Ni_max_mgkg,mgkg,mgkg,False
Cu_max_mgkg,mgkg,mgkg,False
Zn_max_mgkg,mgkg,mgkg,False
As_max_mgkg,mgkg,mgkg,False
Cd_max_mgkg,mgkg,mgkg,False
Hg_max_mgkg,mgkg,mgkg,False
Pb_max_mgkg,mgkg,mgkg,False
