column,missing_pct
p_p_DDD_max,100.0
o_p_DDT_max,100.0
p_p_DDT_min,100.0
p_p_DDT_max,100.0
o_p_DDE_max,100.0
o_p_DDD_max,100.0
SumDDTs_min,100.0
SumDDTs_max,100.0
OCP_SumHCH_ngg,100.0
OCP_SumDDT_ngg,100.0
SumAntibiotics_SA_ngg,100.0
SumAntibiotics_QU_ngg,100.0
SumAntibiotics_TC_ngg,100.0
SumPAE_DEHP_ngg,100.0
SumPAE_DnBP_ngg,100.0
Endrin aldehyde_mgkg,100.0
Endosulfan_II_mgkg,100.0
TC_gkg,99.96
TS_gkg,99.99
NumberSamples,100.0
Lake,100.0
Sum_ngg_APAH,100.0
Sea,100.0
Aldrin_ngg,100.0
Endrin_ngg,100.0
Endosulfan_I_ngg,100.0
Endosulfan_II_ngg,100.0
Methoxychlor_ngg,100.0
Heptachlor_epoxide_ngg,100.0
Mapping_mm,99.99
Species,99.99
TOC_gkg,100.0
SumHCH_ngg,100.0
SumDDT_ngg,100.0
Any_ngg,100.0
IcdP_ngg,99.99
NH4_mgkg,99.97
Saltness_mgkg,99.97
Phase7Prefix,98.95
ExtractionMethod,98.95
Phase7RawJson,98.95
EmissionSource,100.0
DataQualityFlag,99.98
SumPAH_ngg,100.0
Slope_pct,100.0
OM_gkg,99.99
extraction_notes_summary,100.0
Dieldrin_ngg,100.0
SumDRINs_ngg,100.0
CisChlordane_ngg,100.0
TransChlordane_ngg,100.0
SumChlordanes_ngg,100.0
AlphaEndosulfan_ngg,100.0
BetaEndosulfan_ngg,100.0
SumEndosulfans_ngg,100.0
PCB66_ngg,100.0
PCB70_ngg,100.0
PCB74_ngg,100.0
PCB87_ngg,100.0
PCB99_ngg,100.0
PCB141_ngg,100.0
PCB185_ngg,100.0
PCB194_ngg,100.0
PCB44_ngg,100.0
TPH_mgkg,100.0
THg_ngg_midpoint,100.0
PM25_bound,99.99
Season,99.99
PM25_concentration_ugm3,99.99
PAH_volume_concentration_ngm3,99.99
PAH_mass_content_ugg,99.99
W_mgkg,100.0
OM_pct,100.0
extraction_notes_group_summary,100.0
C/N,100.0
SampleSize,100.0
extraction_notes_hint,99.98
MeanValues,100.0
SumcPAH_ngg,100.0
ILCR,100.0
District,100.0
State,100.0
Prefecture,100.0
DTPA_Pb_mgkg,100.0
Distance_m,100.0
Y_mgkg,100.0
Group,100.0
SoilDepth,100.0
PublicationYear,100.0
HousingEstate,99.93
Flo_ngg,100.0
p_H,100.0
Depth_cm,100.0
Month,100.0
OrgMatter_gkg,100.0
SiltClay_pct,100.0
BOD_mgL,100.0
COD_mgL,100.0
ExtractionSeason,99.99
Station,99.94
SumDDTs_mgkg,100.0
SumHCHs_mgkg,100.0
SaltContent_pct,100.0
DBP_mgkg,100.0
DNOP_mgkg,100.0
SumPAE_mgkg,100.0
Dep_mgkg,100.0
SamplingDepth_note,99.99
Heptachlor_endo_epoxide_ngg,100.0
A_Endosulfan_ngg,100.0
B_Endosulfan_ngg,100.0
Endosulfan_sulfate_ngg,100.0
Endrin_ketone_ngg,100.0
HumusType,99.99
MeanAnnualTemperature_C,99.99
C_pct,99.99
N_pct,99.99
