indicator_code,indicator_name,scope,crop,region,year,unit,value,direction,source_name,source_url,source_document,table_or_page,is_proxy,version,effective_date,derivation
D21,非机械化物质投入,production,rice,CN,2015,元/亩·年,241.36,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-2 第14页,true,v1.1,2026-07-20,种子费+化肥费+农家肥费+农药费+农膜费
D21,非机械化物质投入,production,rice,CN,2016,元/亩·年,241.91,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-2 第14页,true,v1.1,2026-07-20,种子费+化肥费+农家肥费+农药费+农膜费
D21,非机械化物质投入,production,rice,CN,2017,元/亩·年,250.94,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-2 第14页,true,v1.1,2026-07-20,种子费+化肥费+农家肥费+农药费+农膜费
D21,非机械化物质投入,production,rice,CN,2018,元/亩·年,261.97,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-2 第14页,true,v1.1,2026-07-20,种子费+化肥费+农家肥费+农药费+农膜费
D21,非机械化物质投入,production,rice,CN,2019,元/亩·年,270.06,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-2 第14页,true,v1.1,2026-07-20,种子费+化肥费+农家肥费+农药费+农膜费
D21,非机械化物质投入,production,rice,CN,2020,元/亩·年,278.53,negative,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-2 第14页,true,v1.1,2026-07-20,种子费+化肥费+农家肥费+农药费+农膜费
D22,单位面积总产值,production,rice,CN,2015,元/公顷·年,20662.80,positive,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,每亩产值合计×15
D22,单位面积总产值,production,rice,CN,2016,元/公顷·年,20156.55,positive,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,每亩产值合计×15
D22,单位面积总产值,production,rice,CN,2017,元/公顷·年,20141.10,positive,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,每亩产值合计×15
D22,单位面积总产值,production,rice,CN,2018,元/公顷·年,19342.95,positive,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,每亩产值合计×15
D22,单位面积总产值,production,rice,CN,2019,元/公顷·年,18933.15,positive,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,每亩产值合计×15
D22,单位面积总产值,production,rice,CN,2020,元/公顷·年,19537.65,positive,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,每亩产值合计×15
D23,效益费用比,production,rice,CN,2015,无量纲,1.145909,positive,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,每亩产值合计÷每亩总成本
D23,效益费用比,production,rice,CN,2016,无量纲,1.118122,positive,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,每亩产值合计÷每亩总成本
D23,效益费用比,production,rice,CN,2017,无量纲,1.109528,positive,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,每亩产值合计÷每亩总成本
D23,效益费用比,production,rice,CN,2018,无量纲,1.053848,positive,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,每亩产值合计÷每亩总成本
D23,效益费用比,production,rice,CN,2019,无量纲,1.016460,positive,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,每亩产值合计÷每亩总成本
D23,效益费用比,production,rice,CN,2020,无量纲,1.039082,positive,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,每亩产值合计÷每亩总成本
D24,农村居民人均可支配收入,production,rice,CN,2015,元/人·年,11422,positive,国家统计局,https://www.stats.gov.cn/zt_18555/ztsj/jzgj/jzsc2023/202404/P020240417553133577139.pdf,金砖国家联合统计手册2023,收入与支出-住户人均收入表,true,v1.1,2026-07-20,农村居民可支配收入
D24,农村居民人均可支配收入,production,rice,CN,2016,元/人·年,12363,positive,国家统计局,https://www.stats.gov.cn/zt_18555/ztsj/jzgj/jzsc2023/202404/P020240417553133577139.pdf,金砖国家联合统计手册2023,收入与支出-住户人均收入表,true,v1.1,2026-07-20,农村居民可支配收入
D24,农村居民人均可支配收入,production,rice,CN,2017,元/人·年,13432,positive,国家统计局,https://www.stats.gov.cn/zt_18555/ztsj/jzgj/jzsc2023/202404/P020240417553133577139.pdf,金砖国家联合统计手册2023,收入与支出-住户人均收入表,true,v1.1,2026-07-20,农村居民可支配收入
D24,农村居民人均可支配收入,production,rice,CN,2018,元/人·年,14617,positive,国家统计局,https://www.stats.gov.cn/zt_18555/ztsj/jzgj/jzsc2023/202404/P020240417553133577139.pdf,金砖国家联合统计手册2023,收入与支出-住户人均收入表,true,v1.1,2026-07-20,农村居民可支配收入
D24,农村居民人均可支配收入,production,rice,CN,2019,元/人·年,16021,positive,国家统计局,https://www.stats.gov.cn/zt_18555/ztsj/jzgj/jzsc2023/202404/P020240417553133577139.pdf,金砖国家联合统计手册2023,收入与支出-住户人均收入表,true,v1.1,2026-07-20,农村居民可支配收入
D24,农村居民人均可支配收入,production,rice,CN,2020,元/人·年,17131,positive,国家统计局,https://www.stats.gov.cn/zt_18555/ztsj/jzgj/jzsc2023/202404/P020240417553133577139.pdf,金砖国家联合统计手册2023,收入与支出-住户人均收入表,true,v1.1,2026-07-20,农村居民可支配收入
D25,单位面积实物产量,production,rice,CN,2015,kg/公顷·年,7389.60,positive,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,每亩主产品产量×15
D25,单位面积实物产量,production,rice,CN,2016,kg/公顷·年,7271.25,positive,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,每亩主产品产量×15
D25,单位面积实物产量,production,rice,CN,2017,kg/公顷·年,7216.50,positive,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,每亩主产品产量×15
D25,单位面积实物产量,production,rice,CN,2018,kg/公顷·年,7378.20,positive,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,每亩主产品产量×15
D25,单位面积实物产量,production,rice,CN,2019,kg/公顷·年,7342.80,positive,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,每亩主产品产量×15
D25,单位面积实物产量,production,rice,CN,2020,kg/公顷·年,7016.85,positive,全国农产品成本收益资料汇编2021,https://www.zgtjcbs.com/data/attachement/pdf/site2/20211111/1636611914406.pdf,全国农产品成本收益资料汇编2021,表1-2-1 第13页,true,v1.1,2026-07-20,每亩主产品产量×15
