factor_id,factor_name_cn,factor_name_norm,factor_name_en,factor_type,pollution_group,track_applicable,production_applicable,ecology_applicable,diagnosis_layer,threshold_role,default_unit,evidence_level,source_file,source_version,source_row_id,final_status,data_role,selected_column,coverage_pct,match_type,notes
42,铬,Cr_mgkg,Cr_mgkg,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,used_in_formal_oi,measured,Cr_mgkg,46.3,exact,
66,铍,铍,铍,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,used_in_formal_oi,measured,Be_mgkg,0.02,alias,
auto_11-二氯乙烷,11-二氯乙烷,11-二氯乙烷,11-二氯乙烷,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
auto_11-二氯乙烯,11-二氯乙烯,11-二氯乙烯,11-二氯乙烯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
64,锑,锑,锑,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,used_in_formal_oi,measured,Sb_mgkg,0.34,alias,
auto_14-二氯苯,14-二氯苯,14-二氯苯,14-二氯苯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
92,二氯甲烷,二氯甲烷,二氯甲烷,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
120,乙苯,乙苯,乙苯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
106,三氯乙烯,三氯乙烯,三氯乙烯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
196,七氯,七氯,七氯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
152,一溴二氯甲烷,一溴二氯甲烷,一溴二氯甲烷,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
156,二溴氯甲烷,二溴氯甲烷,二溴氯甲烷,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
160,六氯环戊二烯,六氯环戊二烯,六氯环戊二烯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
170,五氯酚,五氯酚,五氯酚,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
auto_二苯并[ah]蒽,二苯并[ah]蒽,二苯并[ah]蒽,二苯并[ah]蒽,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,used_in_formal_oi,measured,DahA_ngg,0.5,compound_alias,
auto_33'445-五氯联苯(PCB126),33'445-五氯联苯(PCB126),33'445-五氯联苯(PCB126),33'445-五氯联苯(PCB126),formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
auto_24-二硝基酚,24-二硝基酚,24-二硝基酚,24-二硝基酚,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
auto_24-二硝基甲苯,24-二硝基甲苯,24-二硝基甲苯,24-二硝基甲苯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
auto_24-二氯酚,24-二氯酚,24-二氯酚,24-二氯酚,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
134,2-氯酚,2-氯酚,2-氯酚,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
auto_246-三氯酚,246-三氯酚,246-三氯酚,246-三氯酚,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
auto_33'44'55-六氯联苯(PCB169),33'44'55-六氯联苯(PCB169),33'44'55-六氯联苯(PCB169),33'44'55-六氯联苯(PCB169),formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
auto_33'-二氯联苯胺,33'-二氯联苯胺,33'-二氯联苯胺,33'-二氯联苯胺,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
52,铅,Pb_mgkg,Pb_mgkg,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,used_in_formal_oi,measured,Pb_mgkg,55.91,exact,
36,砷,As_mgkg,As_mgkg,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,used_in_formal_oi,measured,As_mgkg,40.32,exact,
40,镉,Cd_mgkg,Cd_mgkg,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,used_in_formal_oi,measured,Cd_mgkg,55.02,exact,
72,甲基汞,甲基汞,甲基汞,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
56,汞,Hg_mgkg,Hg_mgkg,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,used_in_formal_oi,measured,Hg_mgkg,25.28,exact,
60,镍,Ni_mgkg,Ni_mgkg,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,used_in_formal_oi,measured,Ni_mgkg,29.11,exact,
62,锌,Zn_mgkg,Zn_mgkg,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,used_in_formal_oi,measured,Zn_mgkg,48.27,exact,
48,铜,Cu_mgkg,Cu_mgkg,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,used_in_formal_oi,measured,Cu_mgkg,48.6,exact,
28,有效铜,有效铜,有效铜,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
29,有效锌,有效锌,有效锌,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
204,六氯苯,六氯苯,六氯苯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
21,有机质,OC_pct,OC_pct,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,used_in_formal_oi,measured,OC_pct,34.69,exact,
31,有效镁,有效镁,有效镁,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
30,有效锰,有效锰,有效锰,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
27,有效铁,有效铁,有效铁,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
26,有效钼,有效钼,有效钼,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
25,有效钙,有效钙,有效钙,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
auto_有效耕作层厚度,有效耕作层厚度,有效耕作层厚度,有效耕作层厚度,recommended_test,,both,1,1,recommended_test,proxy_indicator,,A,,v0.7,,excluded_with_reason,exclude,,0.0,missing,
24,有效磷,有效磷,有效磷,recommended_test,,both,1,1,recommended_test,proxy_indicator,,B,,v0.7,,used_in_extended_oi,measured,P_mgkg,0.14,alias,
auto_TN_gkg,全氮,TN_gkg,TN_gkg,recommended_test,,both,1,1,recommended_test,proxy_indicator,,B,,v0.7,,used_in_extended_oi,measured,TN_gkg,3.66,exact,
74,氰化物,氰化物,氰化物,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
190,敌敌畏,敌敌畏,敌敌畏,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
214,二噁英类(总毒性当量),二噁英类(总毒性当量),二噁英类(总毒性当量),formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
192,乐果,乐果,乐果,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
181,六六六总量,SumHCHs_ngg,SumHCHs_ngg,supplementary_screening,,both,1,1,supplementary_screening,screening_reference,,A,,v0.7,,used_in_extended_oi,measured,SumHCHs_ngg,2.22,exact,
23,有效硫,有效硫,有效硫,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
188,滴滴涕,SumDDTs_ngg,SumDDTs_ngg,supplementary_screening,,both,1,1,supplementary_screening,screening_reference,,A,,v0.7,,used_in_extended_oi,measured,SumDDTs_ngg,2.42,exact,
180,阿特拉津,阿特拉津,阿特拉津,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
194,硫丹,硫丹,硫丹,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
206,灭蚁灵,灭蚁灵,灭蚁灵,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
"注：
区域定义（含核心管控导向）：
普通绿化区：以基础生态覆盖为核心的绿地，包括道路绿化带、工厂附属绿地、社区外围绿地等，管控重点为土壤基础理化指标（如 pH、有效土层、入渗率），满足植物存活基本需求（依据 CJ/T 340-2016 “普通绿化区” 阈值）；
耐盐碱种植区：受盐碱化影响的特殊绿地，包括滨海绿地、厂区次生盐碱绿地、盐碱地修复绿地等，管控重点为含盐量、交换性钠、钠吸附比等盐害指标（依据 CJ/T 340-2016 耐盐碱相关要求）；
高景观绿化区：兼具景观展示与生态功能的绿地，包括植物园、城市核心花坛、生物滞留池、公园主景观区等，管控重点为肥力指标（如阳离子交换量、有机质、水解性氮等）与景观适配性（如石砾粒径），需满足 CJ/T 340-2016 “高景观绿化区” 必测 / 选测要求；
设施绿化区：非常规场地绿化，包括屋顶绿化、地下顶面绿化、垂直绿化（构筑物壁面）等，管控重点为有效土层厚度（按植物类型区分：乔木≥80cm、灌木≥45cm、草坪≥15cm）、土壤密度（防荷载超限），依据 CJJ 82-2012 设施绿化相关要求；
自然保育区：以生态保护为首要目标的绿地，包括水源涵养林、自然保护区绿地、生态修复核心区等，管控重点为重金属低限值（CJ/T 340-2016 I 级）与原生土壤结构保护，避免人为干预破坏生态平衡；
一类用地绿地：人群高频接触的敏感绿地，包括住宅区内绿地、学校操场绿地、儿童公园、养老院附属绿地等，管控重点为污染物安全阈值（GB 36600-2018 “一类用地筛选值”），防范重金属、挥发性有机物通过接触 / 扬尘影响人体健康；
二类用地绿地：人群低接触或功能性绿地，包括商业街区绿地、工业厂区绿地、仓储区周边绿地等，管控重点为基础生态功能（如滞尘、降噪），污染物指标可按 GB 36600-2018 “二类用地筛选值” 放宽，优先保障植物存活；
污染管控区：潜在 / 历史污染绿地，包括废弃矿地、工业遗留场地修复绿地、污染土壤改良绿地等，管控重点为毒害重金属（砷、镉、铬、铅、汞）与特征污染物（如挥发性卤代烃），需符合 CJ/T 340-2016 IV 级或 GB 36600-2018 对应污染修复限值。
公园绿地指标选取规则：
应用场景中未单独列明的公园绿地，需按功能分区选取阈值：公园内花坛、专类园、生物滞留池等 “高景观功能区”，按 “高景观绿化区” 阈值执行；公园内普通游步道两侧、非景观核心区等 “基础绿化区”，按 “一般绿地” 阈值执行；儿童活动区、老人休憩区等 “人群高频接触区”，需额外符合 “一类用地绿地” 污染物限值。
一般绿地指标取舍规则：
应用场景中明确不含 “一般绿地”（核心场景为基础生态绿化，如道路基础绿化带、社区非景观绿地）的障碍因子时，仅针对非绿化主导功能区域（如绿地内纯硬化配套区、临时堆土区）可不予考虑；若场景涉及植物种植（即使非核心景观），仍需优先保障一般绿地的主控指标（pH、有效土层、入渗率、有机质）达标，避免因指标缺失导致植物生长异常。",发芽指数,发芽指数,发芽指数,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
32,速效钾,速效钾,速效钾,recommended_test,,both,1,1,recommended_test,proxy_indicator,,B,,v0.7,,used_in_extended_oi,measured,K_mgkg,1.83,alias,
22,水解性氮,水解性氮,水解性氮,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,used_in_formal_oi,measured,TN_gkg,3.66,alias,
144,䓛,䓛,䓛,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,used_in_formal_oi,measured,Chr_ngg,0.75,compound_alias,
218,石油烃(C10-C40),TPH_ngg,TPH_ngg,supplementary_screening,,both,1,1,supplementary_screening,screening_reference,,A,,v0.7,,used_in_extended_oi,measured,TPH_ngg,0.07,exact,
124,甲苯,甲苯,甲苯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
154,溴仿,溴仿,溴仿,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
114,氯苯,氯苯,氯苯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
80,氯甲烷,氯甲烷,氯甲烷,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
130,硝基苯,硝基苯,硝基苯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
138,苯并[a]芘,BaP_ngg,BaP_ngg,supplementary_screening,,both,1,1,supplementary_screening,screening_reference,,A,,v0.7,,used_in_extended_oi,measured,BaP_ngg,3.71,exact,
122,苯乙烯,苯乙烯,苯乙烯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
112,苯,苯,苯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
78,氯仿,氯仿,氯仿,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
208,多氯联苯(总量),多氯联苯(总量),多氯联苯(总量),formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
76,四氯化碳,四氯化碳,四氯化碳,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
100,四氯乙烯,四氯乙烯,四氯乙烯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
auto_反-12-二氯乙烯,反-12-二氯乙烯,反-12-二氯乙烯,反-12-二氯乙烯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
216,多溴联苯(总量),多溴联苯(总量),多溴联苯(总量),formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
110,氯乙烯,氯乙烯,氯乙烯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
182,氯丹,氯丹,氯丹,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
136,苯并[a]蒽,苯并[a]蒽,苯并[a]蒽,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,used_in_formal_oi,measured,BaA_ngg,0.61,compound_alias,
auto_pp'-滴滴伊,pp'-滴滴伊,pp'-滴滴伊,pp'-滴滴伊,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
auto_顺-12-二氯乙烯,顺-12-二氯乙烯,顺-12-二氯乙烯,顺-12-二氯乙烯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
auto_pp'-滴滴滴,pp'-滴滴滴,pp'-滴滴滴,pp'-滴滴滴,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
126,间-二甲苯+对-二甲苯,间-二甲苯+对-二甲苯,间-二甲苯+对-二甲苯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
176,邻苯二甲酸二正辛酯,邻苯二甲酸二正辛酯,邻苯二甲酸二正辛酯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
172,邻苯二甲酸二(2-乙基己基)酯,邻苯二甲酸二(2-乙基己基)酯,邻苯二甲酸二(2-乙基己基)酯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
132,苯胺,苯胺,苯胺,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
142,苯并[k]荧蒽,苯并[k]荧蒽,苯并[k]荧蒽,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,used_in_formal_oi,measured,BkF_ngg,0.61,compound_alias,
auto_茚并[123-cd]芘,茚并[123-cd]芘,茚并[123-cd]芘,茚并[123-cd]芘,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,used_in_formal_oi,measured,Ind_ngg,0.45,compound_alias,
140,苯并[b]荧蒽,苯并[b]荧蒽,苯并[b]荧蒽,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,used_in_formal_oi,measured,BbF_ngg,0.65,compound_alias,
174,邻苯二甲酸丁基苄酯,邻苯二甲酸丁基苄酯,邻苯二甲酸丁基苄酯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
128,邻-二甲苯,邻-二甲苯,邻-二甲苯,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
150,萘,萘,萘,formal,,both,1,1,formal,direct_standard,,A,,v0.7,,used_in_formal_oi,measured,Nap_ngg,2.73,compound_alias,
6,坡度,坡度,坡度,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,used_in_formal_oi,measured,Slope_pct,0.0,alias,
4,有效土层,有效土层,有效土层,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
32,土壤质地,土壤质地,土壤质地,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
11,pH,pH,pH,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,used_in_formal_oi,measured,pH_merged,29.52,coalesced,
13,含盐量,EC_mScm,EC_mScm,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,used_in_formal_oi,measured,EC_mScm,2.7,exact,
17,可溶性硼,可溶性硼,可溶性硼,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
16,可溶性氯,可溶性氯,可溶性氯,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
14,交换性钠,交换性钠,交换性钠,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
18,钠吸附比,钠吸附比,钠吸附比,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
19,阳离子交换量,CEC_cmolkg,CEC_cmolkg,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,used_in_formal_oi,measured,CEC_cmolkg,28.33,exact,
79,砾石含量,砾石含量,砾石含量,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
10,最大湿密度,最大湿密度,最大湿密度,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
7,密度,密度,密度,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
9,孔隙度,孔隙度,孔隙度,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
2,土壤粒径,土壤粒径,土壤粒径,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
5,土壤入渗率,土壤入渗率,土壤入渗率,formal,,both,1,1,formal,direct_standard,,B,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
146,"二苯并[a,h]蒽","二苯并[a,h]蒽","二苯并[a,h]蒽",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,used_in_formal_oi,measured,DahA_ngg,0.5,compound_alias,
148,"茚并[1,2,3-cd]芘","茚并[1,2,3-cd]芘","茚并[1,2,3-cd]芘",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,used_in_formal_oi,measured,Ind_ngg,0.45,compound_alias,
158,"1,2-二溴乙烷","1,2-二溴乙烷","1,2-二溴乙烷",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
162,"2,4-二硝基甲苯","2,4-二硝基甲苯","2,4-二硝基甲苯",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
164,"2,4-二氯酚","2,4-二氯酚","2,4-二氯酚",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
168,"2,4-二硝基酚","2,4-二硝基酚","2,4-二硝基酚",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
178,"3,3'-二氯联苯胺","3,3'-二氯联苯胺","3,3'-二氯联苯胺",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
118,"1,4-二氯苯","1,4-二氯苯","1,4-二氯苯",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
166,"2,4,6-三氯酚","2,4,6-三氯酚","2,4,6-三氯酚",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
116,"1,2-二氯苯","1,2-二氯苯","1,2-二氯苯",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
88,"顺-1,2-二氯乙烯","顺-1,2-二氯乙烯","顺-1,2-二氯乙烯",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
104,"1,1,2-三氯乙烷","1,1,2-三氯乙烷","1,1,2-三氯乙烷",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
102,"1,1,1-三氯乙烷","1,1,1-三氯乙烷","1,1,1-三氯乙烷",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
98,"1,1,2,2-四氯乙烷","1,1,2,2-四氯乙烷","1,1,2,2-四氯乙烷",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
96,"1,1,1,2-四氯乙烷","1,1,1,2-四氯乙烷","1,1,1,2-四氯乙烷",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
94,"1,2-二氯丙烷","1,2-二氯丙烷","1,2-二氯丙烷",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
90,"反-1,2-二氯乙烯","反-1,2-二氯乙烯","反-1,2-二氯乙烯",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
86,"1,1-二氯乙烯","1,1-二氯乙烯","1,1-二氯乙烯",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
84,"1,2-二氯乙烷","1,2-二氯乙烷","1,2-二氯乙烷",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
82,"1,1-二氯乙烷","1,1-二氯乙烷","1,1-二氯乙烷",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
210,"3,3'4,4',5-五氯联苯(PCB126)","3,3'4,4',5-五氯联苯(PCB126)","3,3'4,4',5-五氯联苯(PCB126)",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
108,"1,2,3-三氯丙烷","1,2,3-三氯丙烷","1,2,3-三氯丙烷",formal,,both,1,1,formal,direct_standard,,C,,v0.7,,recommended_for_supplementary_test,recommended_test,,0.0,missing,
