ID,DOI,Source,Year,镉,铅,砷,铜,锌,镍,铬,汞,超标因子数,标签,标签_生产,标签_生态,id_DOI,id_Source,split_source,is_synthetic,镉__missing,铅__missing,砷__missing,铜__missing,锌__missing,镍__missing,铬__missing,汞__missing
1052,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,2.072493390092371,35.02,17.69,60.67,209.79,32.38,46.18,0.25939613941745443,1.0,0,0,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1053,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,2.072493390092371,16.21,9.12,27.78,218.06,34.12,50.38,0.25939613941745443,1.0,0,0,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1054,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,0.2021725130548897,17.61,14.57,33.64,178.27,38.65,23.06,0.22409767269366948,0.0,0,0,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1055,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,0.20061294194439658,45.87,9.1,25.89,115.06,27.84,17.13,0.11812697590432727,0.0,0,0,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1056,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,2.072493390092371,99.82,13.93,56.41,175.11,30.26,30.04,0.25939613941745443,1.0,0,0,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1057,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,0.20061294194439658,40.37,10.96,23.53,59.79,28.85,44.8,0.09488633804800384,0.0,0,0,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1058,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,0.2021725130548897,8.58,10.95,43.74,46.42,32.2,55.29,0.09369735160351748,0.0,0,0,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1059,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,0.2021725130548897,12.65,11.02,81.97,60.57,53.6,68.76,0.09369735160351748,0.0,0,0,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1060,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,2.121334376811214,77.88,9.56,57.42,210.82,67.66,48.65,1.3389647326971124,2.0,0,0,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1061,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,,0.2021725130548897,40.17,6.98,37.93,164.17,49.65,16.6,0.22409767269366948,0.0,0,0,0,10.1038/s41598-025-05989-9,s41598-025_Shangzhou,real_model_ready,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
