factor,track,category,threshold_value,unit,ph_segment,land_class,source,confidence,note
"2,4-二氯酚",生态,OP,≤117mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
"2,4,6-三氯酚",生态,OP,≤137mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
"2,4,6-三氯酚",生态,OP,≤39mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
"2,4-二硝基酚",生态,OP,≤562mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
"2,4-二硝基酚",生态,OP,≤78mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
五氯酚,生态,OP,≤2.7mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
五氯酚,生态,OP,≤1.1mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
邻苯二甲酸二(2-乙基己基)酯,生态,OP,≤121mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
邻苯二甲酸二(2-乙基己基)酯,生态,OP,≤42mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
邻苯二甲酸丁基苄酯,生态,OP,≤900mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
邻苯二甲酸丁基苄酯,生态,OP,≤312mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
邻苯二甲酸二正辛酯,生态,OP,≤2812mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
邻苯二甲酸二正辛酯,生态,OP,≤390mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
"3,3'-二氯联苯胺",生态,OP,≤3.6mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
"3,3'-二氯联苯胺",生态,OP,≤1.3mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
阿特拉津,生态,OP,≤7.4mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
阿特拉津,生态,OP,≤2.6mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
氯丹,生态,OP,≤6.2mg/kg,mg/kg,无,二类用地,GB36600-2018,high,用地前缀:二类用地区; 场景:一般绿地
氯丹,生态,OP,≤2mg/kg,mg/kg,无,一类用地,GB36600-2018,high,用地前缀:一类用地区; 场景:特殊绿地
