unified_id,factor_id,level1_category,factor_name,application_scenario,applicable_scope,land_type_original,threshold_min,threshold_max,unit,threshold_original,standard_source,source
26,98,化学性质,电导率,,生产用地,,,3.0,dS/m,黄淮海平原区 ≤3dS/m,土壤复垦质量控制标准TD/T1036-2013,production
27,99,化学性质,电导率,,生产用地,,,2.0,dS/m,长江中下游平原区 ≤2dS/m,土壤复垦质量控制标准TD/T1036-2013,production
28,100,化学性质,电导率,,生产用地,,,2.0,dS/m,东南沿海山地丘陵区 ≤2dS/m,土壤复垦质量控制标准TD/T1036-2013,production
29,101,化学性质,电导率,其他用地,生产用地,生产,,2.0,dS/m,北方草原区 ≤2dS/m,土壤复垦质量控制标准TD/T1036-2013,production
30,102,化学性质,电导率,,生产用地,,,2.0,dS/m,东北山丘平原区 ≤2dS/m,土壤复垦质量控制标准TD/T1036-2013,production
31,103,化学性质,电导率,,生产用地,,,3.0,dS/m,西北干旱区 ≤3dS/m,土壤复垦质量控制标准TD/T1036-2013,production
32,104,化学性质,电导率,,生产用地,,,2.0,dS/m,青藏高原区 ≤2dS/m,土壤复垦质量控制标准TD/T1036-2013,production
33,105,化学性质,电导率,,生产用地,,,2.0,dS/m,中部山地丘陵区 ≤2dS/m,土壤复垦质量控制标准TD/T1036-2013,production
34,106,化学性质,电导率,,生产用地,,,3.0,dS/m,黄淮海平原区 ≤3dS/m,土壤复垦质量控制标准TD/T1036-2013,production
35,107,化学性质,电导率,,生产用地,,,2.0,dS/m,长江中下游平原区 ≤2dS/m,土壤复垦质量控制标准TD/T1036-2013,production
36,108,化学性质,电导率,,生产用地,,,2.0,dS/m,东南沿海山地丘陵区 ≤2dS/m,土壤复垦质量控制标准TD/T1036-2013,production
37,18,化学性质,钠吸附比,一般绿地,生态用地,生态,,3.0,dS/m,耐盐碱种植区 <3dS/m,绿化种植土壤CJ/T340-2016,ecological
38,19,化学性质,阳离子交换量,一般绿地,生态用地,生态,10.0,,cm,普通绿化区 ≥10cmol (+)/kg,绿化种植土壤CJ/T340-2016,ecological
39,8,物理性质,压实,一般绿地,生态用地,生态,,1.35,,设施绿化区 <1.35Mg/m³,绿化种植土壤CJ/T340-2016,ecological
40,5,物理性质,土壤入渗率,一般绿地,生态用地,生态,5.0,,,普通绿化区 ≥5mm/h,绿化种植土壤CJ/T340-2016,ecological
41,1,物理性质,土壤容重,水田用地,生产用地,生产,,1.3,g/cm³,东北山丘平原区 ≤1.3g/cm³,土壤复垦质量控制标准TD/T1036-2013,production
42,2,物理性质,土壤容重,,生产用地,,,1.35,g/cm³,中部山地丘陵区 ≤1.35g/cm³,土壤复垦质量控制标准TD/T1036-2013,production
43,3,物理性质,土壤容重,,生产用地,,,1.35,g/cm³,黄淮海平原区 ≤1.35g/cm³,土壤复垦质量控制标准TD/T1036-2013,production
44,4,物理性质,土壤容重,,生产用地,,,1.35,g/cm³,西南山地丘陵区 ≤1.35g/cm³,土壤复垦质量控制标准TD/T1036-2013,production
45,5,物理性质,土壤容重,,生产用地,,,1.35,g/cm³,长江中下游平原区 ≤1.35g/cm³,土壤复垦质量控制标准TD/T1036-2013,production
46,6,物理性质,土壤容重,,生产用地,,,1.4,g/cm³,东南沿海山地丘陵区 ≤1.4g/cm³,土壤复垦质量控制标准TD/T1036-2013,production
47,7,物理性质,土壤容重,其他用地,生产用地,生产,,1.5,g/cm³,北方草原区 ≤1.5g/cm³,土壤复垦质量控制标准TD/T1036-2013,production
48,8,物理性质,土壤容重,,生产用地,,,1.45,g/cm³,东北山丘平原区 ≤1.45g/cm³,土壤复垦质量控制标准TD/T1036-2013,production
49,9,物理性质,土壤容重,,生产用地,,,1.55,g/cm³,西北干旱区 ≤1.55g/cm³,土壤复垦质量控制标准TD/T1036-2013,production
50,10,物理性质,土壤容重,,生产用地,,,1.55,g/cm³,青藏高原区 ≤1.55g/cm³,土壤复垦质量控制标准TD/T1036-2013,production
51,11,物理性质,土壤容重,,生产用地,,,1.5,g/cm³,黄土高原区 ≤1.5g/cm³,土壤复垦质量控制标准TD/T1036-2013,production
52,12,物理性质,土壤容重,,生产用地,,,1.5,g/cm³,中部山地丘陵区 ≤1.5g/cm³,土壤复垦质量控制标准TD/T1036-2013,production
53,13,物理性质,土壤容重,,生产用地,,,1.5,g/cm³,黄淮海平原区 ≤1.5g/cm³,土壤复垦质量控制标准TD/T1036-2013,production
54,14,物理性质,土壤容重,,生产用地,,,1.5,g/cm³,西南山地丘陵区 ≤1.5g/cm³,土壤复垦质量控制标准TD/T1036-2013,production
55,15,物理性质,土壤容重,,生产用地,,,1.5,g/cm³,长江中下游平原区 ≤1.5g/cm³,土壤复垦质量控制标准TD/T1036-2013,production
56,16,物理性质,土壤容重,,生产用地,,,1.5,g/cm³,东南沿海山地丘陵区 ≤1.5g/cm³,土壤复垦质量控制标准TD/T1036-2013,production
57,1,物理性质,土壤容重,一般绿地,生态用地,生态,1.0,1.35,g/cm³,普通绿化区 1.0-1.35g/cm³,园林绿化工程施工及验收规范CJ/J82-2012,ecological
58,2,物理性质,土壤粒径,一般绿地,生态用地,生态,,5.0,cm,普通绿化区 ≤5cm,园林绿化工程施工及验收规范CJ/J82-2012,ecological
59,17,物理性质,土壤质地,水田用地,生产用地,生产,,,,东北山丘平原区 砂质壤土至砂质粘土,土壤复垦质量控制标准TD/T1036-2013,production
60,18,物理性质,土壤质地,,生产用地,,,,,中部山地丘陵区 砂质壤土至砂质粘土,土壤复垦质量控制标准TD/T1036-2013,production
61,19,物理性质,土壤质地,,生产用地,,,,,黄淮海平原区 壤土至壤质粘土,土壤复垦质量控制标准TD/T1036-2013,production
62,20,物理性质,土壤质地,,生产用地,,,,,西南山地丘陵区 砂质壤土至壤质粘土,土壤复垦质量控制标准TD/T1036-2013,production
63,21,物理性质,土壤质地,,生产用地,,,,,长江中下游平原区 砂质壤土至壤质粘土,土壤复垦质量控制标准TD/T1036-2013,production
64,22,物理性质,土壤质地,,生产用地,,,,,东南沿海山地丘陵区 砂质壤土至壤质粘土,土壤复垦质量控制标准TD/T1036-2013,production
65,23,物理性质,土壤质地,其他用地,生产用地,生产,,,,北方草原区 砂土至砂质粘土,土壤复垦质量控制标准TD/T1036-2013,production
66,24,物理性质,土壤质地,,生产用地,,,,,东北山丘平原区 砂土至砂质粘土,土壤复垦质量控制标准TD/T1036-2013,production
67,25,物理性质,土壤质地,,生产用地,,,,,西北干旱区 砂土至砂质粘土,土壤复垦质量控制标准TD/T1036-2013,production
68,26,物理性质,土壤质地,,生产用地,,,,,青藏高原区 砂土至砂质粘土,土壤复垦质量控制标准TD/T1036-2013,production
69,27,物理性质,土壤质地,,生产用地,,,,,黄土高原区 砂土至砂质粘土,土壤复垦质量控制标准TD/T1036-2013,production
70,28,物理性质,土壤质地,,生产用地,,,,,中部山地丘陵区 砂土至粉粘土,土壤复垦质量控制标准TD/T1036-2013,production
71,29,物理性质,土壤质地,,生产用地,,,,,黄淮海平原区 砂土至砂质粘土,土壤复垦质量控制标准TD/T1036-2013,production
72,30,物理性质,土壤质地,,生产用地,,,,,西南山地丘陵区 砂土至壤质粘土,土壤复垦质量控制标准TD/T1036-2013,production
73,31,物理性质,土壤质地,,生产用地,,,,,长江中下游平原区 砂土至砂质粘土,土壤复垦质量控制标准TD/T1036-2013,production
74,32,物理性质,土壤质地,,生产用地,,,,,东南沿海山地丘陵区 砂土至壤质砂土,土壤复垦质量控制标准TD/T1036-2013,production
75,33,物理性质,坡度,水田用地,生产用地,生产,,6.0,,东北山丘平原区 ≤6°,土壤复垦质量控制标准TD/T1036-2013,production
76,34,物理性质,坡度,,生产用地,,,15.0,,黄淮海平原区 ≤15°,土壤复垦质量控制标准TD/T1036-2013,production
77,35,物理性质,坡度,,生产用地,,,15.0,,西南山地丘陵区 ≤15°,土壤复垦质量控制标准TD/T1036-2013,production
78,36,物理性质,坡度,,生产用地,,,6.0,,长江中下游平原区 ≤6°,土壤复垦质量控制标准TD/T1036-2013,production
79,37,物理性质,坡度,,生产用地,,,15.0,,东南沿海山地丘陵区 ≤15°,土壤复垦质量控制标准TD/T1036-2013,production
80,38,物理性质,坡度,其他用地,生产用地,生产,,25.0,,北方草原区 ≤25°,土壤复垦质量控制标准TD/T1036-2013,production
81,39,物理性质,坡度,,生产用地,,,15.0,,东北山丘平原区 ≤15°,土壤复垦质量控制标准TD/T1036-2013,production
82,40,物理性质,坡度,,生产用地,,,20.0,,西北干旱区 ≤20°,土壤复垦质量控制标准TD/T1036-2013,production
83,41,物理性质,坡度,,生产用地,,,25.0,,青藏高原区 ≤25°,土壤复垦质量控制标准TD/T1036-2013,production
84,42,物理性质,坡度,,生产用地,,,25.0,,黄土高原区 ≤25°,土壤复垦质量控制标准TD/T1036-2013,production
85,43,物理性质,坡度,,生产用地,,,25.0,,中部山地丘陵区 ≤25°,土壤复垦质量控制标准TD/T1036-2013,production
86,44,物理性质,坡度,,生产用地,,,20.0,,黄淮海平原区 ≤20°,土壤复垦质量控制标准TD/T1036-2013,production
87,45,物理性质,坡度,,生产用地,,,25.0,,西南山地丘陵区 ≤25°,土壤复垦质量控制标准TD/T1036-2013,production
88,46,物理性质,坡度,,生产用地,,,20.0,,长江中下游平原区 ≤20°,土壤复垦质量控制标准TD/T1036-2013,production
89,47,物理性质,坡度,,生产用地,,,25.0,,东南沿海山地丘陵区 ≤25°,土壤复垦质量控制标准TD/T1036-2013,production
90,6,物理性质,坡度,一般绿地,生态用地,生态,0.17,0.17,,普通绿化区 0.17°-0.29°,园林绿化工程施工及验收规范CJ/J82-2012,ecological
91,9,物理性质,孔隙度,一般绿地,生态用地,生态,5.0,25.0,%,普通绿化区 5-25%,绿化种植土壤CJ/T340-2016,ecological
92,7,物理性质,密度,一般绿地,生态用地,生态,,0.5,,普通绿化区 ≤0.5Mg/m³,绿化种植土壤CJ/T340-2016,ecological
93,10,物理性质,最大湿密度,一般绿地,生态用地,生态,,0.8,,普通绿化区 ≤0.8Mg/m³,绿化种植土壤CJ/T340-2016,ecological
94,48,物理性质,有效土层,水田用地,生产用地,生产,100.0,,cm,东北山丘平原区 ≥100cm,土壤复垦质量控制标准TD/T1036-2013,production
95,49,物理性质,有效土层,,生产用地,,60.0,,cm,中部山地丘陵区 ≥60cm,土壤复垦质量控制标准TD/T1036-2013,production
96,50,物理性质,有效土层,,生产用地,,80.0,,cm,黄淮海平原区 ≥80cm,土壤复垦质量控制标准TD/T1036-2013,production
97,51,物理性质,有效土层,,生产用地,,50.0,,cm,西南山地丘陵区 ≥50cm,土壤复垦质量控制标准TD/T1036-2013,production
98,52,物理性质,有效土层,,生产用地,,60.0,,cm,长江中下游平原区 ≥60cm,土壤复垦质量控制标准TD/T1036-2013,production
99,53,物理性质,有效土层,,生产用地,,40.0,,cm,东南沿海山地丘陵区 ≥40cm,土壤复垦质量控制标准TD/T1036-2013,production
100,54,物理性质,有效土层,其他用地,生产用地,生产,30.0,,cm,北方草原区 ≥30cm,土壤复垦质量控制标准TD/T1036-2013,production
101,55,物理性质,有效土层,,生产用地,,30.0,,cm,东北山丘平原区 ≥30cm,土壤复垦质量控制标准TD/T1036-2013,production
102,56,物理性质,有效土层,,生产用地,,10.0,,cm,西北干旱区 ≥10cm,土壤复垦质量控制标准TD/T1036-2013,production
103,57,物理性质,有效土层,,生产用地,,10.0,,cm,青藏高原区 ≥10cm,土壤复垦质量控制标准TD/T1036-2013,production
104,58,物理性质,有效土层,,生产用地,,30.0,,cm,黄土高原区 ≥30cm,土壤复垦质量控制标准TD/T1036-2013,production
105,59,物理性质,有效土层,,生产用地,,30.0,,cm,中部山地丘陵区 ≥30cm,土壤复垦质量控制标准TD/T1036-2013,production
106,60,物理性质,有效土层,,生产用地,,30.0,,cm,黄淮海平原区 ≥30cm,土壤复垦质量控制标准TD/T1036-2013,production
107,61,物理性质,有效土层,,生产用地,,10.0,,cm,西南山地丘陵区 ≥10cm,土壤复垦质量控制标准TD/T1036-2013,production
108,62,物理性质,有效土层,,生产用地,,30.0,,cm,长江中下游平原区 ≥30cm,土壤复垦质量控制标准TD/T1036-2013,production
109,63,物理性质,有效土层,,生产用地,,20.0,,cm,东南沿海山地丘陵区 ≥20cm,土壤复垦质量控制标准TD/T1036-2013,production
110,3,物理性质,有效土层,一般绿地,生态用地,生态,15.0,,cm,设施绿化区 ≥15cm,园林绿化工程施工及验收规范CJ/J82-2012,ecological
111,4,物理性质,有效土层,,生态用地,,30.0,,cm,普通绿化区 ≥30cm,园林绿化工程施工及验收规范CJ/J82-2012,ecological
112,64,物理性质,砾石含量,水田用地,生产用地,生产,,5.0,%,东北山丘平原区 ≤5%,土壤复垦质量控制标准TD/T1036-2013,production
113,65,物理性质,砾石含量,,生产用地,,,10.0,%,中部山地丘陵区 ≤10%,土壤复垦质量控制标准TD/T1036-2013,production
114,66,物理性质,砾石含量,,生产用地,,,5.0,%,黄淮海平原区 ≤5%,土壤复垦质量控制标准TD/T1036-2013,production
115,67,物理性质,砾石含量,,生产用地,,,10.0,%,西南山地丘陵区 ≤10%,土壤复垦质量控制标准TD/T1036-2013,production
116,68,物理性质,砾石含量,,生产用地,,,5.0,%,长江中下游平原区 ≤5%,土壤复垦质量控制标准TD/T1036-2013,production
117,69,物理性质,砾石含量,,生产用地,,,20.0,%,东南沿海山地丘陵区 ≤20%,土壤复垦质量控制标准TD/T1036-2013,production
118,70,物理性质,砾石含量,其他用地,生产用地,生产,,25.0,%,北方草原区 ≤25%,土壤复垦质量控制标准TD/T1036-2013,production
119,71,物理性质,砾石含量,,生产用地,,,20.0,%,东北山丘平原区 ≤20%,土壤复垦质量控制标准TD/T1036-2013,production
120,72,物理性质,砾石含量,,生产用地,,,50.0,%,西北干旱区 ≤50%,土壤复垦质量控制标准TD/T1036-2013,production
121,73,物理性质,砾石含量,,生产用地,,,50.0,%,青藏高原区 ≤50%,土壤复垦质量控制标准TD/T1036-2013,production
122,74,物理性质,砾石含量,,生产用地,,,25.0,%,黄土高原区 ≤25%,土壤复垦质量控制标准TD/T1036-2013,production
123,75,物理性质,砾石含量,,生产用地,,,30.0,%,中部山地丘陵区 ≤30%,土壤复垦质量控制标准TD/T1036-2013,production
124,76,物理性质,砾石含量,,生产用地,,,25.0,%,黄淮海平原区 ≤25%,土壤复垦质量控制标准TD/T1036-2013,production
125,77,物理性质,砾石含量,,生产用地,,,50.0,%,西南山地丘陵区 ≤50%,土壤复垦质量控制标准TD/T1036-2013,production
126,78,物理性质,砾石含量,,生产用地,,,20.0,%,长江中下游平原区 ≤20%,土壤复垦质量控制标准TD/T1036-2013,production
127,79,物理性质,砾石含量,,生产用地,,,25.0,%,东南沿海山地丘陵区 ≤25%,土壤复垦质量控制标准TD/T1036-2013,production
128,95,环境指标,"1,1,1,2-四氯乙烷",一般绿地,生态用地,生态,,10.0,mg/kg,二类用地区≤10mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
129,96,环境指标,"1,1,1,2-四氯乙烷",特殊绿地,生态用地,生态,,2.6,mg/kg,一类用地区≤2.6mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
130,101,环境指标,"1,1,1-三氯乙烷",一般绿地,生态用地,生态,,840.0,mg/kg,二类用地区≤840mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
131,102,环境指标,"1,1,1-三氯乙烷",特殊绿地,生态用地,生态,,701.0,mg/kg,一类用地区≤701mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
132,97,环境指标,"1,1,2,2-四氯乙烷",一般绿地,生态用地,生态,,6.8,mg/kg,二类用地区≤6.8mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
133,98,环境指标,"1,1,2,2-四氯乙烷",特殊绿地,生态用地,生态,,1.6,mg/kg,一类用地区≤1.6mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
134,103,环境指标,"1,1,2-三氯乙烷",一般绿地,生态用地,生态,,2.8,mg/kg,二类用地区≤2.8mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
135,104,环境指标,"1,1,2-三氯乙烷",特殊绿地,生态用地,生态,,0.6,mg/kg,一类用地区≤0.6mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
136,85,环境指标,"1,1-二氯乙烯",一般绿地,生态用地,生态,,66.0,mg/kg,二类用地区≤66mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
137,86,环境指标,"1,1-二氯乙烯",特殊绿地,生态用地,生态,,12.0,mg/kg,一类用地区≤12mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
138,81,环境指标,"1,1-二氯乙烷",一般绿地,生态用地,生态,,9.0,mg/kg,二类用地区≤9mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
139,82,环境指标,"1,1-二氯乙烷",特殊绿地,生态用地,生态,,3.0,mg/kg,一类用地区≤3mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
140,107,环境指标,"1,2,3-三氯丙烷",一般绿地,生态用地,生态,,0.5,mg/kg,二类用地区≤0.5mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
141,108,环境指标,"1,2,3-三氯丙烷",特殊绿地,生态用地,生态,,0.05,mg/kg,一类用地区≤0.05mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
142,93,环境指标,"1,2-二氯丙烷",一般绿地,生态用地,生态,,5.0,mg/kg,二类用地区≤5mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
143,94,环境指标,"1,2-二氯丙烷",特殊绿地,生态用地,生态,,1.0,mg/kg,一类用地区≤1mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
144,83,环境指标,"1,2-二氯乙烷",一般绿地,生态用地,生态,,5.0,mg/kg,二类用地区≤5mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
145,84,环境指标,"1,2-二氯乙烷",特殊绿地,生态用地,生态,,0.52,mg/kg,一类用地区≤0.52mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
146,115,环境指标,"1,2-二氯苯",一般绿地,生态用地,生态,,560.0,mg/kg,二类用地区≤560mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
147,116,环境指标,"1,2-二氯苯",特殊绿地,生态用地,生态,,560.0,mg/kg,一类用地区≤560mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
148,157,环境指标,"1,2-二溴乙烷",一般绿地,生态用地,生态,,0.24,mg/kg,二类用地区≤0.24mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
149,158,环境指标,"1,2-二溴乙烷",特殊绿地,生态用地,生态,,0.07,mg/kg,一类用地区≤0.07mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
150,117,环境指标,"1,4-二氯苯",一般绿地,生态用地,生态,,20.0,mg/kg,二类用地区≤20mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
151,118,环境指标,"1,4-二氯苯",特殊绿地,生态用地,生态,,5.6,mg/kg,一类用地区≤5.6mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
152,165,环境指标,"2,4,6-三氯酚",一般绿地,生态用地,生态,,137.0,mg/kg,二类用地区≤137mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
153,166,环境指标,"2,4,6-三氯酚",特殊绿地,生态用地,生态,,39.0,mg/kg,一类用地区≤39mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
154,163,环境指标,"2,4-二氯酚",一般绿地,生态用地,生态,,843.0,mg/kg,二类用地区≤843mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
155,164,环境指标,"2,4-二氯酚",特殊绿地,生态用地,生态,,117.0,mg/kg,一类用地区≤117mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
156,161,环境指标,"2,4-二硝基甲苯",一般绿地,生态用地,生态,,5.2,mg/kg,二类用地区≤5.2mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
157,162,环境指标,"2,4-二硝基甲苯",特殊绿地,生态用地,生态,,1.8,mg/kg,一类用地区≤1.8mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
158,167,环境指标,"2,4-二硝基酚",一般绿地,生态用地,生态,,562.0,mg/kg,二类用地区≤562mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
159,168,环境指标,"2,4-二硝基酚",特殊绿地,生态用地,生态,,78.0,mg/kg,一类用地区≤78mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
160,133,环境指标,2-氯酚,一般绿地,生态用地,生态,,2256.0,mg/kg,二类用地区≤2256mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
161,134,环境指标,2-氯酚,特殊绿地,生态用地,生态,,250.0,mg/kg,一类用地区≤250mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
162,177,环境指标,"3,3'-二氯联苯胺",一般绿地,生态用地,生态,,3.6,mg/kg,二类用地区≤3.6mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
163,178,环境指标,"3,3'-二氯联苯胺",特殊绿地,生态用地,生态,,1.3,mg/kg,一类用地区≤1.3mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
164,209,环境指标,"3,3'4,4',5-五氯联苯(PCB126)",一般绿地,生态用地,生态,,1.0,mg/kg,二类用地区≤1×10⁻⁴mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
165,210,环境指标,"3,3'4,4',5-五氯联苯(PCB126)",特殊绿地,生态用地,生态,,4.0,mg/kg,一类用地区≤4×10⁻⁵mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
166,211,环境指标,"3,3'4,4'5,5'-六氯联苯(PCB169)",一般绿地,生态用地,生态,,4.0,mg/kg,二类用地区≤4×10⁻⁴mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
167,212,环境指标,"3,3'4,4'5,5'-六氯联苯(PCB169)",特殊绿地,生态用地,生态,,1.0,mg/kg,一类用地区≤1×10⁻⁴mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
168,185,环境指标,"p,p'-滴滴伊",一般绿地,生态用地,生态,,7.0,mg/kg,二类用地区≤7mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
169,186,环境指标,"p,p'-滴滴伊",特殊绿地,生态用地,生态,,2.0,mg/kg,一类用地区≤2mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
170,183,环境指标,"p,p'-滴滴滴",一般绿地,生态用地,生态,,7.1,mg/kg,二类用地区≤7.1mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
171,184,环境指标,"p,p'-滴滴滴",特殊绿地,生态用地,生态,,2.5,mg/kg,一类用地区≤2.5mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
172,197,环境指标,α-六六六,一般绿地,生态用地,生态,,0.3,mg/kg,二类用地区≤0.3mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
173,198,环境指标,α-六六六,特殊绿地,生态用地,生态,,0.09,mg/kg,一类用地区≤0.09mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
174,199,环境指标,β-六六六,一般绿地,生态用地,生态,,0.92,mg/kg,二类用地区≤0.92mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
175,200,环境指标,β-六六六,特殊绿地,生态用地,生态,,0.32,mg/kg,一类用地区≤0.32mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
176,201,环境指标,γ-六六六,一般绿地,生态用地,生态,,1.9,mg/kg,二类用地区≤1.9mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
177,202,环境指标,γ-六六六,特殊绿地,生态用地,生态,,0.62,mg/kg,一类用地区≤0.62mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
178,143,环境指标,䓛,一般绿地,生态用地,生态,,1293.0,mg/kg,二类用地区≤1293mg/kg,质量建设用地土壤污染风险管控标准GB36600-2018,ecological
