dataset,scope,group_key,n_rows,missing_pct,valid
merged_std33,field,DBDPE_ngg,41504,99.89,47
merged_std33,field,D_HCH_ngg,41504,99.66,142
merged_std33,field,DahA_mgkg,41504,99.52,199
merged_std33,field,DahA_ngg,41504,97.91,866
merged_std33,field,EC_mScm,41504,98.91,453
merged_std33,field,Elevation_m,41504,87.59,5149
merged_std33,field,Fe_mgkg,41504,97.5,1038
merged_std33,field,Flt_mgkg,41504,99.39,252
merged_std33,field,Flt_ngg,41504,97.46,1055
merged_std33,field,Flu_mgkg,41504,99.48,214
merged_std33,field,Flu_ngg,41504,95.91,1698
merged_std33,field,G_HCH_ngg,41504,99.62,156
merged_std33,field,Ga_mgkg,41504,99.89,44
merged_std33,field,Glucosinolate_umol_g,41504,99.94,24
merged_std33,field,HBB_ngg,41504,99.93,30
merged_std33,field,HMWPAH_ngg,41504,99.11,369
merged_std33,field,Ind_mgkg,41504,99.53,197
merged_std33,field,Ind_ngg,41504,98.47,635
merged_std33,field,K_mgkg,41504,98.58,591
merged_std33,field,LMWPAH_ngg,41504,99.14,357
merged_std33,field,MAP_mm,41504,93.92,2525
merged_std33,field,Mg_mgkg,41504,99.42,239
merged_std33,field,Mn_mgkg,41504,95.46,1885
merged_std33,field,Nap_mgkg,41504,99.44,233
merged_std33,field,Nap_ngg,41504,96.15,1598
merged_std33,field,Note,41504,99.95,22
merged_std33,field,Notes,41504,84.08,6607
merged_std33,field,PBEB_ngg,41504,99.94,26
merged_std33,field,PCB101_ugkg,41504,99.98,10
merged_std33,field,PCB118_ugkg,41504,99.98,10
merged_std33,field,PCB138_ugkg,41504,99.98,10
merged_std33,field,PCB153_ugkg,41504,99.98,10
merged_std33,field,PCB180_ugkg,41504,99.98,10
merged_std33,field,PCB28_ugkg,41504,99.98,10
merged_std33,field,PCB52_ugkg,41504,99.98,10
merged_std33,field,P_mgkg,41504,99.92,35
merged_std33,field,Phe_mgkg,41504,99.13,360
merged_std33,field,Phe_ngg,41504,95.58,1834
merged_std33,field,Pyr_mgkg,41504,99.02,406
merged_std33,field,Pyr_ngg,41504,93.65,2636
merged_std33,field,References,41504,99.98,9
merged_std33,field,Region,41504,78.08,9096
merged_std33,field,Sb_mgkg,41504,98.8,496
merged_std33,field,Se_mgkg,41504,99.2,330
merged_std33,field,SiltClay_ratio,41504,99.73,114
merged_std33,field,Sn_mgkg,41504,99.77,97
merged_std33,field,SoilSource,41504,99.98,8
merged_std33,field,Sr_mgkg,41504,99.71,121
merged_std33,field,SumAntibiotics_ugkg,41504,99.6,165
merged_std33,field,SumDDTs_ngg,41504,97.6,997
merged_std33,field,SumHCHs_ngg,41504,97.86,889
merged_std33,field,SumOCP_ngg,41504,98.94,438
merged_std33,field,SumPAE_ugkg,41504,98.99,419
merged_std33,field,SumPBDE_ngg,41504,98.74,523
merged_std33,field,SumPCB_ngg,41504,98.15,766
merged_std33,field,SumPFAS_ngg,41504,99.42,239
merged_std33,field,Sum_PAH_mgkg,41504,98.69,544
merged_std33,field,Sum_PAH_ngg,41504,90.69,3865
merged_std33,field,SynDP_ngg,41504,99.86,60
merged_std33,field,TBB_ngg,41504,99.98,7
merged_std33,field,TBE_ngg,41504,99.99,5
merged_std33,field,TBPH_ngg,41504,99.98,9
merged_std33,field,TN_gkg,41504,96.95,1264
merged_std33,field,TPH_ngg,41504,99.91,36
merged_std33,field,TP_gkg,41504,98.15,767
merged_std33,field,TotalPCB_ugg,41504,99.63,155
merged_std33,field,TotalPHC_mgkg,41504,98.99,420
merged_std33,field,Treatment,41504,99.98,7
merged_std33,field,V_mgkg,41504,98.71,537
merged_std33,field,WaterSolubleSalt_gkg,41504,99.81,77
merged_std33,field,extraction_notes,41504,99.4,248
merged_std33,field,o_p_DDT_ngg,41504,99.58,173
merged_std33,field,p_p_DDD_ngg,41504,99.55,188
merged_std33,field,p_p_DDE_ngg,41504,99.47,222
merged_std33,field,p_p_DDT_ngg,41504,99.53,193
merged_std33,field,ANT_ngg_median,41504,100.0,0
merged_std33,field,As_mgkg_median,41504,100.0,0
merged_std33,field,As_residual_pct,41504,99.98,7
merged_std33,field,BaA_ngg_median,41504,100.0,0
merged_std33,field,BaP_ngg_median,41504,100.0,0
merged_std33,field,BbF_ngg_median,41504,100.0,0
merged_std33,field,BghiP_ngg_median,41504,100.0,0
merged_std33,field,BkF_ngg_median,41504,100.0,0
merged_std33,field,Co_mgkg_median,41504,100.0,0
merged_std33,field,Cr_mgkg_median,41504,100.0,0
merged_std33,field,Cu_mgkg_median,41504,100.0,0
merged_std33,field,FLT_ngg_median,41504,100.0,0
merged_std33,field,FLU_ngg_median,41504,100.0,0
merged_std33,field,NAP_ngg_median,41504,100.0,0
merged_std33,field,Ni_mgkg_median,41504,100.0,0
merged_std33,field,PHE_ngg_median,41504,100.0,0
merged_std33,field,PYR_ngg_median,41504,100.0,0
merged_std33,field,Pb_mgkg_median,41504,100.0,0
merged_std33,field,Sr_mgkg_median,41504,100.0,0
merged_std33,field,Sum_PAH_ngg_max,41504,100.0,1
merged_std33,field,Sum_PAH_ngg_median,41504,100.0,0
merged_std33,field,Sum_PAH_ngg_min,41504,100.0,1
merged_std33,field,Sum_PAH_range_mgkg,41504,100.0,2
merged_std33,field,V_mgkg_median,41504,100.0,0
merged_std33,field,Zn_mgkg_median,41504,100.0,0
merged_std33,field,AOX_mgkg,41504,100.0,0
merged_std33,field,BC_ugg,41504,99.29,296
merged_std33,field,BGP_ngg,41504,99.68,131
merged_std33,field,BaPeq_range_ngg_max,41504,100.0,1
merged_std33,field,BaPeq_range_ngg_min,41504,100.0,1
merged_std33,field,Benz_a_anthracene_ngg,41504,100.0,0
merged_std33,field,Benz_a_pyrene_ngg,41504,100.0,0
merged_std33,field,Benz_b_fluoranthene_ngg,41504,100.0,0
merged_std33,field,Benz_e_pyrene_ngg,41504,100.0,0
merged_std33,field,Benz_ghi_perylene_ngg,41504,100.0,0
merged_std33,field,Benz_k_fluoranthene_ngg,41504,100.0,0
merged_std33,field,CN_ratio,41504,99.99,5
merged_std33,field,Cd_Pi,41504,99.99,4
merged_std33,field,Cl_content_gkg,41504,99.99,3
merged_std33,field,Climate,41504,99.99,4
merged_std33,field,Cr_Pi,41504,99.99,5
merged_std33,field,Cu_Pi,41504,99.99,5
merged_std33,field,DEHP_mgkg,41504,99.98,7
merged_std33,field,Elevation_m_max,41504,100.0,1
merged_std33,field,Elevation_m_min,41504,100.0,1
merged_std33,field,HMW_PAH_pct,41504,100.0,1
merged_std33,field,ICP_ngg,41504,97.95,851
merged_std33,field,LAS_mgkg,41504,100.0,0
merged_std33,field,LMW_PAH_pct,41504,100.0,1
merged_std33,field,LandUse_enc,41504,95.46,1885
merged_std33,field,Latitude_range,41504,100.0,1
merged_std33,field,Location,41504,99.97,11
merged_std33,field,Longitude_range,41504,100.0,1
merged_std33,field,Mo_mgkg,41504,99.87,52
merged_std33,field,NPE_mgkg,41504,100.0,0
merged_std33,field,PAH_compounds_detected,41504,99.99,5
merged_std33,field,PAH_mgkg,41504,100.0,0
merged_std33,field,PCB_mgkg,41504,100.0,0
merged_std33,field,PCDD_F_ngTEkg,41504,100.0,0
merged_std33,field,PCDD_Fs_I_TEQ_ngm3,41504,100.0,1
merged_std33,field,PCDD_Fs_I_TEQ_ugg,41504,99.99,3
merged_std33,field,PCN14,41504,99.83,71
merged_std33,field,PCN19,41504,99.83,71
merged_std33,field,PCN24,41504,99.83,71
merged_std33,field,Pb_Pi,41504,99.99,5
merged_std33,field,Perylene_ngg,41504,100.0,0
merged_std33,field,Plants,41504,99.99,5
merged_std33,field,Pollutant,41504,99.19,335
merged_std33,field,SampleType,41504,99.98,7
merged_std33,field,SamplingLocation,41504,99.99,5
merged_std33,field,SoilMoisture_pct,41504,99.99,5
merged_std33,field,SoilOrganicMatter_pct,41504,99.99,5
merged_std33,field,SumOPAH_ngg,41504,100.0,0
merged_std33,field,Sum_PAH_range_ngg_max,41504,100.0,1
merged_std33,field,Sum_PAH_range_ngg_min,41504,100.0,1
merged_std33,field,TPHs_mgkg,41504,100.0,0
merged_std33,field,Temperature_C,41504,99.99,4
merged_std33,field,TotalNitrogen_pct,41504,99.99,5
merged_std33,field,TotalPCB_ngg,41504,99.96,17
merged_std33,field,ValidationSite,41504,99.89,44
merged_std33,field,Zn_Pi,41504,99.99,5
merged_std33,field,five_six_ring_PAH_pct,41504,100.0,1
merged_std33,field,four_ring_PAH_pct,41504,100.0,1
merged_std33,field,zotero_key,41504,98.54,607
merged_std33,field,source,41504,84.58,6398
merged_std33,field,Glyphosate_ngL,41504,100.0,0
merged_std33,field,AMPA_ngL,41504,100.0,0
merged_std33,field,Sum16PAH_ngg,41504,97.86,888
merged_std33,field,Extraction_Notes,41504,99.5,206
merged_std33,field,I_TEQ_ngkg,41504,100.0,0
merged_std33,field,WHO_TEQ_ngkg,41504,99.99,3
merged_std33,field,PCB28_ngg,41504,99.78,92
merged_std33,field,PCB52_ngg,41504,99.78,90
merged_std33,field,PCB101_ngg,41504,99.78,91
merged_std33,field,PCB118_ngg,41504,99.77,94
merged_std33,field,PCB153_ngg,41504,99.78,91
merged_std33,field,PCB138_ngg,41504,99.77,94
merged_std33,field,PCB180_ngg,41504,99.83,70
merged_std33,field,SumPCNs_ngg,41504,100.0,0
merged_std33,field,Sum7PAH_ngg,41504,99.21,328
merged_std33,field,Cd_spiked_mgkg,41504,100.0,0
merged_std33,field,Cd_spiked_mgkg_2,41504,100.0,0
merged_std33,field,Spiked_Phe_mgkg,41504,100.0,0
merged_std33,field,PAHs_mgkg,41504,99.98,8
merged_std33,field,C10C40_TPH_mgkg,41504,99.99,3
merged_std33,field,C5C10_TPH_mgkg,41504,100.0,0
merged_std33,field,SampleCount,41504,99.97,13
merged_std33,field,S_mgkg,41504,100.0,1
merged_std33,field,Na_mgkg,41504,99.95,22
merged_std33,field,DMP_ugkg,41504,99.39,253
merged_std33,field,DEP_ugkg,41504,99.4,247
merged_std33,field,DBP_ugkg,41504,99.3,292
merged_std33,field,BBP_ugkg,41504,99.55,187
merged_std33,field,DEHP_ugkg,41504,99.19,338
merged_std33,field,DNOP_ugkg,41504,99.57,180
merged_std33,field,DiBP_ugkg,41504,99.77,94
merged_std33,field,BMPP_ugkg,41504,99.96,15
merged_std33,field,DEEP_ugkg,41504,99.96,18
merged_std33,field,DHXP_ugkg,41504,99.96,18
merged_std33,field,DBEP_ugkg,41504,99.97,12
merged_std33,field,Sum6PAE_ugkg,41504,99.99,3
merged_std33,field,BDE28_ngg,41504,99.99,5
merged_std33,field,BDE47_ngg,41504,99.97,12
merged_std33,field,BDE99_ngg,41504,99.97,12
merged_std33,field,BDE100_ngg,41504,99.98,9
merged_std33,field,BDE153_ngg,41504,99.98,9
merged_std33,field,BDE154_ngg,41504,99.98,9
merged_std33,field,BDE138_ngg,41504,99.99,5
merged_std33,field,BDE183_ngg,41504,99.98,9
merged_std33,field,BDE190_ngg,41504,99.99,5
merged_std33,field,BDE206_ngg,41504,100.0,0
merged_std33,field,BDE207_ngg,41504,99.99,6
merged_std33,field,BDE208_ngg,41504,100.0,0
merged_std33,field,Org_Matter_gkg,41504,100.0,1
merged_std33,field,Olsen_P_mgkg,41504,100.0,1
merged_std33,field,NH4OAc_K_mgkg,41504,100.0,1
merged_std33,field,Alk_hydrolyzable_N_mgkg,41504,100.0,1
merged_std33,field,DTPA_Fe_mgkg,41504,100.0,1
merged_std33,field,DTPA_Mn_mgkg,41504,100.0,1
merged_std33,field,DTPA_Cu_mgkg,41504,100.0,1
merged_std33,field,HCB_ngg,41504,99.92,32
merged_std33,field,SamplingDate,41504,100.0,0
merged_std33,field,N_mgkg,41504,100.0,0
merged_std33,field,SampingDepth,41504,99.99,3
merged_std33,field,Ti_mgkg,41504,99.77,95
merged_std33,field,Comment_SamplingID,41504,100.0,1
merged_std33,field,Comment_DataRepresentation,41504,100.0,1
merged_std33,field,pH_in_Results,41504,100.0,1
merged_std33,field,SumPCB_mgkg,41504,99.99,6
merged_std33,field,BDE209_mgkg,41504,99.99,6
merged_std33,field,SumPBDE_mgkg,41504,99.99,6
merged_std33,field,Extraction_Notes_Additional,41504,100.0,1
merged_std33,field,Si_mgkg,41504,100.0,0
merged_std33,field,Cl_mgkg,41504,100.0,0
merged_std33,field,Zr_mgkg,41504,99.97,13
merged_std33,field,Nb_mgkg,41504,99.99,3
merged_std33,field,Ag_mgkg,41504,100.0,1
merged_std33,field,Ta_mgkg,41504,100.0,0
merged_std33,field,Rb_mgkg,41504,99.95,19
merged_std33,field,Be_mgkg,41504,99.97,11
merged_std33,field,DIBP_ugkg,41504,99.97,13
merged_std33,field,extraction_note,41504,99.79,87
merged_std33,field,PCDD/Fs_pg_TEQ_g,41504,99.99,6
merged_std33,field,SOC_pct,41504,100.0,1
merged_std33,field,NO3_N_mgkg,41504,100.0,1
merged_std33,field,Fe_gkg,41504,100.0,1
merged_std33,field,o_p_DDE_ngg,41504,99.97,11
merged_std33,field,o_p_DDD_ngg,41504,99.97,11
merged_std33,field,extraction_notes_row,41504,100.0,1
merged_std33,field,ExtractionNote_AP,41504,100.0,2
merged_std33,field,ExtractionNote_DTPA_Cd,41504,100.0,2
merged_std33,field,WaterContent_pct,41504,99.99,3
merged_std33,field,TK_gkg,41504,99.99,3
merged_std33,field,SOC_gkg,41504,99.99,6
merged_std33,field,AK_mgkg,41504,99.99,3
merged_std33,field,AN_mgkg,41504,99.99,3
merged_std33,field,Ce_mgkg,41504,99.99,3
merged_std33,field,La_mgkg,41504,99.98,9
merged_std33,field,Li_mgkg,41504,99.98,10
merged_std33,field,Sc_mgkg,41504,99.99,5
merged_std33,field,Th_mgkg,41504,99.98,7
merged_std33,field,Sum_PCB_mgkg,41504,100.0,0
merged_std33,field,Tl_mgkg,41504,99.98,10
merged_std33,field,Cd_treatment_mgkg,41504,99.99,3
merged_std33,field,O3_treatment,41504,99.99,3
merged_std33,field,Bi_mgkg,41504,100.0,1
merged_std33,field,U_mgkg,41504,99.99,4
merged_std33,field,AcPy_ngg,41504,100.0,1
merged_std33,field,Acp_ngg,41504,100.0,1
merged_std33,field,SiteID,41504,100.0,0
merged_std33,field,B_mgkg,41504,100.0,0
merged_std33,field,Sum16PAH_mgkg,41504,99.99,6
merged_std33,field,ParticlePorosity_pct,41504,100.0,1
merged_std33,field,C_N_ratio,41504,99.98,10
merged_std33,field,Sum15PAH_ngg,41504,99.94,24
merged_std33,field,ChloroalkanesC10_13_ngg,41504,99.98,9
merged_std33,field,PAH4_mgkg,41504,100.0,0
merged_std33,field,SoilOrganicMatter_mgg,41504,100.0,2
merged_std33,field,Sum_PAH_range_ngg,41504,100.0,2
merged_std33,field,TotalDioxins_TEQ_ngkg,41504,100.0,1
merged_std33,field,Cl_pct,41504,100.0,1
merged_std33,field,S_pct,41504,100.0,1
merged_std33,field,Si_pct,41504,100.0,1
merged_std33,field,Br_pct,41504,100.0,1
merged_std33,field,P_pct,41504,100.0,1
merged_std33,field,Sn_pct,41504,100.0,1
merged_std33,field,PeCBz_ngkg,41504,100.0,1
merged_std33,field,HxCBz_ngkg,41504,100.0,1
merged_std33,field,Methomyl_mgkg,41504,100.0,0
merged_std33,field,Triazophos_mgkg,41504,100.0,0
merged_std33,field,Aldrin_mgkg,41504,100.0,0
merged_std33,field,Dieldrin_mgkg,41504,100.0,0
merged_std33,field,Endrinketone_mgkg,41504,100.0,0
merged_std33,field,ExtractableK_mgkg,41504,100.0,0
merged_std33,field,ExtractableCa_mgkg,41504,100.0,0
merged_std33,field,ExtractableMg_mgkg,41504,100.0,0
merged_std33,field,OlsenP_ugg,41504,100.0,0
merged_std33,field,SulphateS_mgg,41504,100.0,0
merged_std33,field,WaterSolubleAs_mgL,41504,100.0,0
merged_std33,field,Heptachlor_ngg,41504,99.98,10
merged_std33,field,EndrinCHO_ngg,41504,100.0,0
merged_std33,field,EndosulfanII_ngg,41504,100.0,0
merged_std33,field,NH4_N_mgkg,41504,100.0,0
merged_std33,field,P2O5_mgkg,41504,100.0,0
merged_std33,field,Heptachlor_mgkg,41504,100.0,0
merged_std33,field,Endrin_mgkg,41504,100.0,0
merged_std33,field,EndosulfanII_mgkg,41504,100.0,0
merged_std33,field,TotalOCP_mgkg,41504,100.0,0
merged_std33,field,D_BHC_mgkg,41504,100.0,0
merged_std33,field,Moisture_pct,41504,100.0,2
merged_std33,field,SoilRespiration_mgCO2g,41504,100.0,1
merged_std33,field,Chloride_mgL,41504,100.0,0
merged_std33,field,TotalHardness_mgL,41504,100.0,0
merged_std33,field,Isopropylamine_mgkg,41504,100.0,0
merged_std33,field,HCB_mgkg,41504,100.0,0
merged_std33,field,Endosulfan_mgkg,41504,100.0,0
merged_std33,field,DDT_mgkg,41504,100.0,0
merged_std33,field,t-nonachlor_mgkg,41504,100.0,0
merged_std33,field,Carbofuran_mgkg,41504,100.0,0
merged_std33,field,Dichlorvos_mgkg,41504,100.0,0
merged_std33,field,g-chlordane_mgkg,41504,100.0,0
merged_std33,field,Lindane_mgkg,41504,100.0,0
merged_std33,field,DichloroBiphenyl_mgkg,41504,100.0,0
merged_std33,field,Chlorpyrifos_mgkg,41504,100.0,0
merged_std33,field,Profenofos_mgkg,41504,100.0,0
merged_std33,field,Gravel_pct,41504,100.0,0
merged_std33,field,TOC_pct,41504,99.99,4
merged_std33,field,Ptot_mgkg,41504,100.0,0
merged_std33,field,Ntot_mgkg,41504,100.0,0
merged_std33,field,Region_category,41504,100.0,0
merged_std33,field,Is_China,41504,49.03,21155
merged_std33,field,Region_Flag,41504,29.96,29071
merged_std33,field,PCB77_ngg,41504,99.98,7
merged_std33,field,PCB81_ngg,41504,99.99,5
merged_std33,field,PCB105_ngg,41504,99.99,6
merged_std33,field,PCB114_ngg,41504,99.99,5
merged_std33,field,PCB123_ngg,41504,99.99,5
merged_std33,field,PCB126_ngg,41504,99.98,7
merged_std33,field,PCB156_ngg,41504,99.99,5
merged_std33,field,PCB157_ngg,41504,99.99,5
merged_std33,field,PCB167_ngg,41504,99.98,7
merged_std33,field,PCB169_ngg,41504,99.99,5
merged_std33,field,PCB189_ngg,41504,99.99,5
merged_std33,field,SumPAE_ngg,41504,99.98,8
merged_std33,field,SumPBB_ngg,41504,99.98,10
merged_std33,field,PBDE209_ngg,41504,99.99,3
merged_std33,field,PCDD_Fs_Total_pg_g,41504,99.98,7
merged_std33,field,PCNs_Total_pg_g,41504,99.99,5
merged_std33,field,Sum47PAH_ngg,41504,100.0,1
merged_std33,field,Sum26alkylPAH_ngg,41504,100.0,1
merged_std33,field,DMEP_ugkg,41504,99.97,13
merged_std33,field,DPP_ugkg,41504,99.98,10
merged_std33,field,DPHP_ugkg,41504,99.97,12
merged_std33,field,DNP_ugkg,41504,99.97,13
merged_std33,field,DCHP_ugkg,41504,99.97,12
merged_std33,field,PFBA_ngg,41504,99.98,10
merged_std33,field,PFPeA_ngg,41504,99.98,8
merged_std33,field,PFHxA_ngg,41504,99.98,8
merged_std33,field,PFHpA_ngg,41504,99.98,8
merged_std33,field,PFOA_ngg,41504,99.89,44
merged_std33,field,PFNA_ngg,41504,99.98,8
merged_std33,field,PFDA_ngg,41504,99.98,8
merged_std33,field,PFBS_ngg,41504,99.98,8
merged_std33,field,PFHxS_ngg,41504,99.98,8
merged_std33,field,PFOS_ngg,41504,99.97,13
merged_std33,field,RAP_mgkg,41504,99.98,8
merged_std33,field,SOM_gkg,41504,99.98,8
merged_std33,field,BAF,41504,100.0,2
merged_std33,field,c_HCH_ngg,41504,99.99,3
merged_std33,field,In_mgkg,41504,100.0,1
merged_std33,field,Cs_mgkg,41504,100.0,1
merged_std33,field,DOP_ugkg,41504,99.98,10
merged_std33,field,A_HCH_pct_total,41504,99.98,9
merged_std33,field,D_HCH_pct_total,41504,99.98,9
merged_std33,field,Province_City,41504,100.0,1
merged_std33,field,BgP_ngg,41504,99.99,3
merged_std33,field,InP_ngg,41504,99.94,24
merged_std33,field,HCBD_ngg,41504,99.95,19
merged_std33,field,CaO_pct,41504,100.0,1
merged_std33,field,SiO2_pct,41504,100.0,1
merged_std33,field,Al2O3_pct,41504,100.0,1
merged_std33,field,Fe2O3_pct,41504,100.0,1
merged_std33,field,MgO_pct,41504,100.0,1
merged_std33,field,K2O_pct,41504,100.0,1
merged_std33,field,Na2O_pct,41504,100.0,1
merged_std33,field,DiBP_mgkg,41504,99.99,4
merged_std33,field,DnBP_mgkg,41504,99.99,5
merged_std33,field,DEP_mgkg,41504,99.99,6
merged_std33,field,BBP_mgkg,41504,99.98,7
merged_std33,field,DMP_mgkg,41504,99.98,7
merged_std33,field,DnOP_mgkg,41504,99.99,6
merged_std33,field,TownOrTownship,41504,99.99,4
merged_std33,field,Self_defined_SoilDensity_gcm3,41504,100.0,1
merged_std33,field,Self_defined_WC_pct,41504,100.0,2
merged_std33,field,Self_defined_TVN_pct,41504,100.0,1
merged_std33,field,Self_defined_SOM_gkg,41504,100.0,2
merged_std33,field,Self_defined_TK_pct,41504,100.0,2
merged_std33,field,Self_defined_AN_mgkg,41504,100.0,1
merged_std33,field,Self_defined_AP_mgkg,41504,100.0,1
merged_std33,field,Number_of_Samples,41504,100.0,1
merged_std33,field,PBT_ngg,41504,100.0,1
merged_std33,field,TTHQ,41504,99.97,13
merged_std33,field,ExtractionNote,41504,99.95,20
merged_std33,field,Mineral,41504,99.95,22
merged_std33,field,SumPFAAs_ngg,41504,100.0,1
merged_std33,field,SumAlternatives_ngg,41504,100.0,1
merged_std33,field,SumPFAS_max_ngg,41504,100.0,2
merged_std33,field,PFUnDA_ngg,41504,99.99,3
merged_std33,field,PFDoDA_ngg,41504,99.99,3
merged_std33,field,HFPO_DA_ngg,41504,99.99,4
merged_std33,field,F53B_ngg,41504,100.0,2
merged_std33,field,6_2FTS_ngg,41504,100.0,2
merged_std33,field,3-ClFlu_ngg,41504,99.99,5
merged_std33,field,8-ClFlu_ngg,41504,99.99,5
merged_std33,field,1-ClPyr_ngg,41504,99.99,5
merged_std33,field,7-ClBaA_ngg,41504,99.99,5
merged_std33,field,6-ClBaP_ngg,41504,99.99,5
merged_std33,field,"3,9-Cl2Phe_ngg",41504,99.99,5
merged_std33,field,9-ClPhe_ngg,41504,100.0,2
merged_std33,field,"9,10-Cl2Phe_ngg",41504,99.99,3
merged_std33,field,"9,10-Cl2Ant_1,9-Cl2Phe_ngg",41504,99.99,3
merged_std33,field,9-ClAnt_ngg,41504,100.0,1
merged_std33,field,p_p_DDE_min,41504,100.0,1
merged_std33,field,p_p_DDE_max,41504,100.0,1
merged_std33,field,p_p_DDD_max,41504,100.0,1
merged_std33,field,o_p_DDT_max,41504,100.0,1
merged_std33,field,p_p_DDT_min,41504,100.0,1
merged_std33,field,p_p_DDT_max,41504,100.0,1
merged_std33,field,o_p_DDE_max,41504,100.0,1
merged_std33,field,o_p_DDD_max,41504,100.0,1
