paper_id,sample_id,site_label,pollutant_std,value,unit,value_flag,confidence,evidence_location,source_caption
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Skewness,Skewness,Pb_mgkg,9.82,Unknown,,high,table_p3_ri6_ci2,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Skewness,Skewness,Zn_mgkg,32.269,Unknown,,high,table_p3_ri6_ci3,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Skewness,Skewness,Ni_mgkg,5.006,Unknown,,high,table_p3_ri6_ci4,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Skewness,Skewness,Cr_mgkg,3.54,Unknown,,high,table_p3_ri6_ci5,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Skewness,Skewness,As_mgkg,0.446,Unknown,,high,table_p3_ri6_ci6,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Skewness,Skewness,Cd_mgkg,32.115,Unknown,,high,table_p3_ri6_ci7,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Skewness,Skewness,Hg_mgkg,15.485,Unknown,,high,table_p3_ri6_ci8,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Skewness,Skewness,pH,-1.447,Unknown,,high,table_p3_ri6_ci9,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Kurtosis,Kurtosis,Cu_mgkg,26.5,Unknown,,high,table_p3_ri7_ci1,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Kurtosis,Kurtosis,Pb_mgkg,145.85,Unknown,,high,table_p3_ri7_ci2,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Kurtosis,Kurtosis,Zn_mgkg,1177.09,Unknown,,high,table_p3_ri7_ci3,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Kurtosis,Kurtosis,Ni_mgkg,40.92,Unknown,,high,table_p3_ri7_ci4,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Kurtosis,Kurtosis,Cr_mgkg,19.87,Unknown,,high,table_p3_ri7_ci5,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Kurtosis,Kurtosis,As_mgkg,0.85,Unknown,,high,table_p3_ri7_ci6,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Kurtosis,Kurtosis,Cd_mgkg,1168.58,Unknown,,high,table_p3_ri7_ci7,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Kurtosis,Kurtosis,Hg_mgkg,358.68,Unknown,,high,table_p3_ri7_ci8,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Kurtosis,Kurtosis,pH,2.23,Unknown,,high,table_p3_ri7_ci9,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _The_reference_value_of_GB_15618-2018,The reference value of GB 15618-2018,Cu_mgkg,100.0,Unknown,,high,table_p3_ri8_ci1,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _The_reference_value_of_GB_15618-2018,The reference value of GB 15618-2018,Pb_mgkg,170.0,Unknown,,high,table_p3_ri8_ci2,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _The_reference_value_of_GB_15618-2018,The reference value of GB 15618-2018,Zn_mgkg,300.0,Unknown,,high,table_p3_ri8_ci3,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _The_reference_value_of_GB_15618-2018,The reference value of GB 15618-2018,Ni_mgkg,190.0,Unknown,,high,table_p3_ri8_ci4,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _The_reference_value_of_GB_15618-2018,The reference value of GB 15618-2018,Cr_mgkg,250.0,Unknown,,high,table_p3_ri8_ci5,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _The_reference_value_of_GB_15618-2018,The reference value of GB 15618-2018,As_mgkg,25.0,Unknown,,high,table_p3_ri8_ci6,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _The_reference_value_of_GB_15618-2018,The reference value of GB 15618-2018,Cd_mgkg,0.6,Unknown,,high,table_p3_ri8_ci7,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _The_reference_value_of_GB_15618-2018,The reference value of GB 15618-2018,Hg_mgkg,3.4,Unknown,,high,table_p3_ri8_ci8,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Background_value_of_Shandong_Province,Background value of Shandong Province,Cu_mgkg,22.3,Unknown,,high,table_p3_ri9_ci1,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Background_value_of_Shandong_Province,Background value of Shandong Province,Pb_mgkg,24.5,Unknown,,high,table_p3_ri9_ci2,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Background_value_of_Shandong_Province,Background value of Shandong Province,Zn_mgkg,60.9,Unknown,,high,table_p3_ri9_ci3,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Background_value_of_Shandong_Province,Background value of Shandong Province,Ni_mgkg,24.4,Unknown,,high,table_p3_ri9_ci4,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Background_value_of_Shandong_Province,Background value of Shandong Province,Cr_mgkg,64.3,Unknown,,high,table_p3_ri9_ci5,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Background_value_of_Shandong_Province,Background value of Shandong Province,As_mgkg,8.9,Unknown,,high,table_p3_ri9_ci6,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Background_value_of_Shandong_Province,Background value of Shandong Province,Cd_mgkg,0.07,Unknown,,high,table_p3_ri9_ci7,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Background_value_of_Shandong_Province,Background value of Shandong Province,Hg_mgkg,0.016,Unknown,,high,table_p3_ri9_ci8,TABLE 2 | Statistical results of soil heavy metal concentrations in the study area.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Cu,Cu,Cu_mgkg,1.0,Unknown,,high,table_p6_ri1_ci1,TABLE 4 | Results of the Pearson’s correlation analysis of soil heavy metal concentrations.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Pb,Pb,Pb_mgkg,1.0,Unknown,,high,table_p6_ri2_ci2,TABLE 4 | Results of the Pearson’s correlation analysis of soil heavy metal concentrations.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Zn,Zn,Zn_mgkg,1.0,Unknown,,high,table_p6_ri3_ci3,TABLE 4 | Results of the Pearson’s correlation analysis of soil heavy metal concentrations.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Ni,Ni,Ni_mgkg,1.0,Unknown,,high,table_p6_ri4_ci4,TABLE 4 | Results of the Pearson’s correlation analysis of soil heavy metal concentrations.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Cr,Cr,Cr_mgkg,1.0,Unknown,,high,table_p6_ri5_ci5,TABLE 4 | Results of the Pearson’s correlation analysis of soil heavy metal concentrations.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Cr,Cr,As_mgkg,0.042,Unknown,,high,table_p6_ri6_ci5,TABLE 4 | Results of the Pearson’s correlation analysis of soil heavy metal concentrations.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _As,As,As_mgkg,1.0,Unknown,,high,table_p6_ri6_ci6,TABLE 4 | Results of the Pearson’s correlation analysis of soil heavy metal concentrations.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Cd,Cd,Cd_mgkg,1.0,Unknown,,high,table_p6_ri7_ci7,TABLE 4 | Results of the Pearson’s correlation analysis of soil heavy metal concentrations.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Zn,Zn,Hg_mgkg,0.042,Unknown,,high,table_p6_ri8_ci3,TABLE 4 | Results of the Pearson’s correlation analysis of soil heavy metal concentrations.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Ni,Ni,Hg_mgkg,0.03,Unknown,,high,table_p6_ri8_ci4,TABLE 4 | Results of the Pearson’s correlation analysis of soil heavy metal concentrations.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Cr,Cr,Hg_mgkg,0.027,Unknown,,high,table_p6_ri8_ci5,TABLE 4 | Results of the Pearson’s correlation analysis of soil heavy metal concentrations.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Cd,Cd,Hg_mgkg,0.043,Unknown,,high,table_p6_ri8_ci7,TABLE 4 | Results of the Pearson’s correlation analysis of soil heavy metal concentrations.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Hg,Hg,Hg_mgkg,1.0,Unknown,,high,table_p6_ri8_ci8,TABLE 4 | Results of the Pearson’s correlation analysis of soil heavy metal concentrations.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Zn,Zn,Pb_mgkg,-0.012,Unknown,,high,table_p6_ri9_ci3,TABLE 4 | Results of the Pearson’s correlation analysis of soil heavy metal concentrations.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _As,As,Pb_mgkg,0.028,Unknown,,high,table_p6_ri9_ci6,TABLE 4 | Results of the Pearson’s correlation analysis of soil heavy metal concentrations.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Cd,Cd,Pb_mgkg,-0.015,Unknown,,high,table_p6_ri9_ci7,TABLE 4 | Results of the Pearson’s correlation analysis of soil heavy metal concentrations.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Hg,Hg,Pb_mgkg,0.007,Unknown,,high,table_p6_ri9_ci8,TABLE 4 | Results of the Pearson’s correlation analysis of soil heavy metal concentrations.
Yan Li 等 - 2022 - Spatial distribution and source ,Yan Li 等 - 2022 - Spatial distribution and source _Pb,Pb,Pb_mgkg,1.0,Unknown,,high,table_p6_ri9_ci9,TABLE 4 | Results of the Pearson’s correlation analysis of soil heavy metal concentrations.
