ID,DOI,Source,Year,镉,铅,砷,铜,锌,镍,铬,汞,超标因子数,标签,id_DOI,id_Source,split_source,is_synthetic
2589,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.031,18.7,14.883,,,,0.101,,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2590,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.124,27.6,9.89,,,,57.8,0.036,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2591,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.45,55.0,,,,,78.5,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2592,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,,13.32,25.89,,,,106.02,0.05,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2593,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.05,19.56,13.72,,,,38.94,0.03,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2594,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,4.06,50.52,,,,,77.56,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2595,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,,12.157,31.853,,,,82.253,0.063,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2596,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.42,20.76,13.33,,,,53.12,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2597,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.11,18.16,4.81,,,,34.45,,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2598,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.28,19.82,18.86,,,,28.68,,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2599,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.26,94.63,10.3,,,,53.2,0.28,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2600,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.215,113.25,,,,,78.63,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2601,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,,433.79,150.12,,,,145.02,,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2602,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,,31.44,71.27,,,,356.23,,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2603,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,4.1,41.6,9.41,,,,107.7,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2604,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,152.95,4479.66,920.97,,,,627.24,,4,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2605,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.78,34.53,11.29,,,,345.74,13.6,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2606,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.99,44.17,17.36,,,,355.21,49.41,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2607,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.33,45.27,6.75,,,,321.25,4.68,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2608,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.89,35.76,8.97,,,,359.09,13.51,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2609,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,1.02,110.27,16.27,,,,354.44,0.33,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2610,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.57,28.48,25.95,,,,359.43,5.42,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2611,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.24,24.05,25.195,,,,,,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2612,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,2.3,218.6,25.2,,,,95.6,0.4,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2613,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.38,33.17,23.38,,,,75.31,0.28,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2614,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.23,23.4,,,,,97.2,,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2615,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,78.61,2626.63,148.52,,,,,,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2616,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,5.02,228.39,39.32,,,,,,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2617,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,22.82,1579.83,127.58,,,,,,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2618,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,10.0,941.75,20.12,,,,,,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2619,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.16,374.94,23.13,,,,60.24,0.26,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2620,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.72,29.4,18.48,,,,,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2621,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.56,9.06,11.78,,,,,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2622,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.58,26.49,24.14,,,,,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
