site_id,Latitude,Longitude
520,28.2841045362,112.558406916
522,26.8995761392,112.578447213
525,26.8689576998,112.635948198
528,26.7445319568,112.684402528
529,26.7445319568,112.684402528
531,25.7309953534,112.731083872
537,29.234804,112.886217
538,29.234804,112.886217
539,28.6766763776,112.889521877
540,28.2387185474,112.925565254
543,28.2348893999,112.945473195
544,28.2348893999,112.9454732
545,27.8357022271,112.950464181
546,27.8357022271,112.950464181
547,27.7849825347,112.957505369
550,28.235894,112.976264
551,28.246472,112.977668
552,28.118269998,112.989602543
553,28.2494689327,113.006083844
556,25.7905372613,113.017410129
557,25.7766832736,113.021460499
558,25.7766832736,113.021460499
560,25.8067373741,113.048423408
561,25.8067373741,113.048423408
563,27.860286102,113.053995957
565,28.2518184879,113.087559166
567,28.190943003,113.095881158
573,29.150269316,113.122544483
574,27.8807051656,113.124567916
576,29.3631782939,113.135489424
579,27.833567639,113.140470798
583,25.8118410376,113.145191663
587,27.7043228049,113.150426718
588,25.796665,113.154437
597,25.9818736027,113.242556122
600,31.6965167723,113.389450018
602,29.4828013734,113.45656151
607,27.6213077039,113.877439919
612,30.922977925,113.917489897
615,30.5881136219,114.035479631
616,30.5881136219,114.035479631
618,30.6259198181,114.143458738
619,30.6259198181,114.143458738
623,30.5984667364,114.311581555
626,30.5595669835,114.322548518
627,29.8470559476,114.3285191
628,30.3815642182,114.328551264
629,30.3815642182,114.328551264
633,30.5516000647,114.348440737
634,30.5063339568,114.350455546
635,30.5063339568,114.350455546
636,30.7291445284,114.355970154
650,30.6166666667,114.433333333
652,30.5101431156,114.437763296
654,24.748206355,114.536582367
656,30.256907,114.558862
658,30.0201445246,114.629018737
665,25.6670529306,114.771538215
667,24.9165994612,114.796554137
668,30.8472438705,114.807543393
674,30.4593588576,114.878490484
676,30.4063894563,114.898599682
680,25.8237470139,114.927550885
681,25.39197512,114.929521139
683,30.0662542718,114.938938091
684,25.8351761035,114.940503373
690,30.1479839465,114.969908521
694,27.1197268261,115.0005107
695,27.1197268261,115.00051072
696,25.8663846166,115.018570164
699,30.2052078489,115.045532909
700,30.24,115.05
701,30.239629,115.062241
702,30.094874,115.120196
703,29.8471314429,115.214390974
704,29.8365418081,115.221426772
705,30.4574608423,115.271569033
710,29.3191724963,115.762577958
711,28.1666140244,115.777478421
712,25.6066618338,115.792459642
713,29.2487411737,115.821420024
714,28.6987486252,115.821450925
716,28.6894552951,115.864589442
717,28.6816905168,115.915423204
718,28.7286145991,115.922581171
722,26.4759795033,116.015494437
723,25.891666274,116.033420663
724,29.3125,116.051388889
725,29.4545391657,116.051425939
727,29.2789650448,116.210552047
730,29.7371315146,116.258471346
731,29.147445,116.278506
734,27.9548922534,116.364538769
738,28.2153537614,116.824593629
741,27.2883402348,116.914507003
742,31.0410994545,116.943654068
745,27.7118457857,117.066570274
747,30.502201,117.117983
750,31.7129621327,117.164557814
754,31.8265778337,117.233442665
764,31.8938903545,117.475400625
766,30.6805419637,117.502082006
773,31.542279,117.565818
781,30.9585120991,117.798568009
783,30.9512332399,117.818476794
784,30.9512332399,117.818476794
785,30.9512332399,117.818476794
787,30.6456343462,117.853431299
790,30.9568093228,117.94404104
794,31.971929115,118.129331936
795,32.171364886,118.177314378
797,32.261270872,118.3394061
798,31.3175662725,118.379579706
799,31.3458665956,118.392606304
800,31.3758045195,118.397588486
801,31.383291,118.424783
804,31.6762655976,118.513579579
805,31.6762655976,118.5135796
809,32.061707,118.763232
810,30.9466015453,118.765534243
811,32.0667769443,118.769551645
812,32.05,118.783333333
813,32.0455947327,118.790903289
814,32.060255,118.796877
815,32.0646528856,118.8024217
816,32.0646528856,118.802421721
817,32.0646528856,118.802421721
818,32.0925438315,118.802898147
820,32.0547566829,118.804412636
822,32.0825350256,118.816869
824,31.9585268692,118.846567059
827,31.937768668,118.873331712
832,31.6572836963,119.034403909
833,32.182960429,119.067031084
835,31.9509234905,119.175433203
836,31.9509234905,119.175433203
838,32.2014948432,119.418440474
839,32.1947159205,119.4304894
840,32.1947159205,119.430489446
841,32.1947159205,119.430489446
842,32.1379203957,119.440500791
843,32.2037854835,119.475603696
844,31.626647,119.563966
846,32.0159202742,119.612500605
847,32.0159202742,119.612500605
848,30.6444247941,119.686563379
850,30.2333333333,119.7
856,32.2429671941,119.803519612
857,32.2429671941,119.803519612
858,31.3429566243,119.831606032
859,31.3429566243,119.831606032
860,31.3429566243,119.831606032
862,31.0325793268,119.917498322
863,32.4606750493,119.929566338
864,31.7064466117,119.948611672
867,31.8157956533,119.981484713
