factor_id,factor_name_cn,factor_name_norm,diagnosis_layer,threshold_role,data_role,selected_column,coverage_pct,match_type,evidence_level,track,usable_for_formal_diagnosis,usable_for_extended_screening,usable_as_model_covariate,usable_for_recommended_test,coalesce_rule,unit_standardized,review_status
146,"二苯并[a,h]蒽","二苯并[a,h]蒽",formal,direct_standard,measured,DahA_ngg,0.5,compound_alias,C,production,0,1,1,0,,,frozen
148,"茚并[1,2,3-cd]芘","茚并[1,2,3-cd]芘",formal,direct_standard,measured,Ind_ngg,0.45,compound_alias,C,production,0,1,1,0,,,frozen
158,"1,2-二溴乙烷","1,2-二溴乙烷",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
162,"2,4-二硝基甲苯","2,4-二硝基甲苯",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
164,"2,4-二氯酚","2,4-二氯酚",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
168,"2,4-二硝基酚","2,4-二硝基酚",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
178,"3,3'-二氯联苯胺","3,3'-二氯联苯胺",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
118,"1,4-二氯苯","1,4-二氯苯",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
166,"2,4,6-三氯酚","2,4,6-三氯酚",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
116,"1,2-二氯苯","1,2-二氯苯",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
88,"顺-1,2-二氯乙烯","顺-1,2-二氯乙烯",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
104,"1,1,2-三氯乙烷","1,1,2-三氯乙烷",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
102,"1,1,1-三氯乙烷","1,1,1-三氯乙烷",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
98,"1,1,2,2-四氯乙烷","1,1,2,2-四氯乙烷",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
96,"1,1,1,2-四氯乙烷","1,1,1,2-四氯乙烷",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
94,"1,2-二氯丙烷","1,2-二氯丙烷",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
90,"反-1,2-二氯乙烯","反-1,2-二氯乙烯",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
86,"1,1-二氯乙烯","1,1-二氯乙烯",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
84,"1,2-二氯乙烷","1,2-二氯乙烷",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
82,"1,1-二氯乙烷","1,1-二氯乙烷",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
210,"3,3'4,4',5-五氯联苯(PCB126)","3,3'4,4',5-五氯联苯(PCB126)",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
108,"1,2,3-三氯丙烷","1,2,3-三氯丙烷",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
212,"3,3'4,4'5,5'-六氯联苯(PCB169)","3,3'4,4'5,5'-六氯联苯(PCB169)",formal,direct_standard,recommended_test,,0.0,missing,C,production,0,0,0,1,,,frozen
PAHs_total,PAHs总量,PAHs_total,supplementary_screening,screening_reference,family_aggregate,Sum_PAH_ngg,10.26,family_aggregate,B,production,0,1,0,0,,,frozen
PCBs_total,多氯联苯总量,PCBs_total,supplementary_screening,screening_reference,family_aggregate,SumPCB_ngg,0.81,family_aggregate,B,production,0,1,0,0,,,frozen
PBDEs_total,多溴二苯醚总量,PBDEs_total,supplementary_screening,screening_reference,family_aggregate,SumPBDE_ngg,0.66,family_aggregate,B,production,0,1,0,0,,,frozen
PFAS_total,PFAS总量,PFAS_total,supplementary_screening,screening_reference,family_aggregate,SumPFAS_ngg,0.26,family_aggregate,B,production,0,1,0,0,,,frozen
PAEs_total,邻苯二甲酸酯总量,PAEs_total,supplementary_screening,screening_reference,family_aggregate,SumPAE_ugkg,0.42,family_aggregate,B,production,0,1,0,0,,,frozen
gee_ndvi,植被恢复潜力,gee_ndvi,model_covariate,proxy_indicator,proxy_covariate,gee_ndvi,98.12,proxy_covariate,C,production,0,0,1,0,,,frozen
gee_precip_annual_mm,气候水分条件,gee_precip_annual_mm,model_covariate,proxy_indicator,proxy_covariate,gee_precip_annual_mm,98.12,proxy_covariate,C,production,0,0,1,0,,,frozen
gee_temp_mean_c,光温条件,gee_temp_mean_c,model_covariate,proxy_indicator,proxy_covariate,gee_temp_mean_c,98.12,proxy_covariate,C,production,0,0,1,0,,,frozen
gee_elevation_m,海拔,gee_elevation_m,model_covariate,proxy_indicator,proxy_covariate,gee_elevation_m,98.12,proxy_covariate,C,production,0,0,1,0,,,frozen
gee_slope_deg,坡度,gee_slope_deg,model_covariate,proxy_indicator,proxy_covariate,gee_slope_deg,98.12,proxy_covariate,C,production,0,0,1,0,,,frozen
gee_aspect_deg,坡向,gee_aspect_deg,model_covariate,proxy_indicator,proxy_covariate,gee_aspect_deg,98.12,proxy_covariate,C,production,0,0,1,0,,,frozen
gee_soil_pH,pH代理,gee_soil_pH,model_covariate,proxy_indicator,proxy_covariate,gee_soil_pH,70.52,proxy_covariate,C,production,0,0,1,0,,,frozen
gee_soc_g_kg,有机碳代理,gee_soc_g_kg,model_covariate,proxy_indicator,proxy_covariate,gee_soc_g_kg,70.52,proxy_covariate,C,production,0,0,1,0,,,frozen
gee_cec_cmol_kg,CEC代理,gee_cec_cmol_kg,model_covariate,proxy_indicator,proxy_covariate,gee_cec_cmol_kg,70.52,proxy_covariate,C,production,0,0,1,0,,,frozen
gee_clay_pct,黏粒代理,gee_clay_pct,model_covariate,proxy_indicator,proxy_covariate,gee_clay_pct,70.52,proxy_covariate,C,production,0,0,1,0,,,frozen
gee_sand_pct,砂粒代理,gee_sand_pct,model_covariate,proxy_indicator,proxy_covariate,gee_sand_pct,70.52,proxy_covariate,C,production,0,0,1,0,,,frozen
gee_silt_pct,粉粒代理,gee_silt_pct,model_covariate,proxy_indicator,proxy_covariate,gee_silt_pct,70.52,proxy_covariate,C,production,0,0,1,0,,,frozen
gee_bulk_density_g_cm3,容重代理,gee_bulk_density_g_cm3,model_covariate,proxy_indicator,proxy_covariate,gee_bulk_density_g_cm3,70.52,proxy_covariate,C,production,0,0,1,0,,,frozen
gee_nitrogen_g_kg,全氮代理,gee_nitrogen_g_kg,model_covariate,proxy_indicator,proxy_covariate,gee_nitrogen_g_kg,70.52,proxy_covariate,C,production,0,0,1,0,,,frozen
1,土壤容重,SoilBD_gcm3,formal,direct_standard,measured,SoilBD_gcm3,2.31,exact,B,ecology,1,1,1,0,,,frozen
auto_1112-四氯乙烷,1112-四氯乙烷,1112-四氯乙烷,formal,direct_standard,recommended_test,,0.0,missing,A,ecology,0,0,0,1,,,frozen
auto_112-三氯乙烷,112-三氯乙烷,112-三氯乙烷,formal,direct_standard,recommended_test,,0.0,missing,A,ecology,0,0,0,1,,,frozen
auto_1122-四氯乙烷,1122-四氯乙烷,1122-四氯乙烷,formal,direct_standard,recommended_test,,0.0,missing,A,ecology,0,0,0,1,,,frozen
auto_12-二氯丙烷,12-二氯丙烷,12-二氯丙烷,formal,direct_standard,recommended_test,,0.0,missing,A,ecology,0,0,0,1,,,frozen
auto_12-二氯乙烷,12-二氯乙烷,12-二氯乙烷,formal,direct_standard,recommended_test,,0.0,missing,A,ecology,0,0,0,1,,,frozen
auto_123-三氯丙烷,123-三氯丙烷,123-三氯丙烷,formal,direct_standard,recommended_test,,0.0,missing,A,ecology,0,0,0,1,,,frozen
auto_12-二溴乙烷,12-二溴乙烷,12-二溴乙烷,formal,direct_standard,recommended_test,,0.0,missing,A,ecology,0,0,0,1,,,frozen
auto_111-三氯乙烷,111-三氯乙烷,111-三氯乙烷,formal,direct_standard,recommended_test,,0.0,missing,A,ecology,0,0,0,1,,,frozen
auto_12-二氯苯,12-二氯苯,12-二氯苯,formal,direct_standard,recommended_test,,0.0,missing,A,ecology,0,0,0,1,,,frozen
68,钴,钴,formal,direct_standard,measured,Co_mgkg,1.65,alias,A,ecology,1,1,1,0,,,frozen
70,钒,钒,formal,direct_standard,measured,V_mgkg,0.72,alias,A,ecology,1,1,1,0,,,frozen
44,铬(六价),Cr6_mgkg,formal,direct_standard,recommended_test,,0.0,missing,A,ecology,0,0,0,1,,,frozen
42,铬,Cr_mgkg,formal,direct_standard,measured,Cr_mgkg,46.3,exact,A,ecology,1,1,1,0,,,frozen
66,铍,铍,formal,direct_standard,measured,Be_mgkg,0.02,alias,A,ecology,1,1,1,0,,,frozen
auto_11-二氯乙烷,11-二氯乙烷,11-二氯乙烷,formal,direct_standard,recommended_test,,0.0,missing,A,ecology,0,0,0,1,,,frozen
