DOI,Source,Latitude,Longitude,Province,Pollution_Type,SoilpH,pH,OC_pct,Sum_PAH_ngg,BaP_ngg,SumOCP_ngg,SumDDTs_ngg,SumPCB_ngg,SumHCHs_ngg,SumPAE_ugkg,SumPBDE_ngg,SumPFAS_ngg,TPH_ngg,HMWPAH_ngg,LMWPAH_ngg,标签,id_DOI,id_Source,split_source,is_synthetic,SoilpH__missing,pH__missing,Sum_PAH_ngg__missing,BaP_ngg__missing,SumOCP_ngg__missing,SumDDTs_ngg__missing,SumPCB_ngg__missing,SumHCHs_ngg__missing,SumPAE_ugkg__missing,SumPBDE_ngg__missing,SumPFAS_ngg__missing,TPH_ngg__missing,HMWPAH_ngg__missing,LMWPAH_ngg__missing
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,52.94925,122.96244444444444,黑龙江,OP,7.712221755315833,5.54,19.05,161.2712050098756,0.8706471115979725,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,49.54091666666667,123.51427777777778,黑龙江,OP,7.712221755315833,5.54,19.05,191.29455454366231,2.063128796904095,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,25.64313888888889,118.22175,福建,OP,7.712221755315833,5.54,19.05,97.49052380965094,1.4388706001078198,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,25.649413888888887,118.22413888888887,福建,OP,7.712221755315833,5.54,19.05,164.76939686476254,1.6867896933127964,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,27.9072,108.7021,湖南,OP,7.712221755315833,5.54,19.05,138.34183823221417,4.967188601134721,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,27.895516666666666,108.71501944444444,湖南,OP,7.712221755315833,5.54,19.05,495.22975475301166,12.609474333053225,21254.711479166668,529.6690931682649,386.0731897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,37.88802777777778,111.44225,内蒙古,OP,7.712221755315833,5.54,19.05,193.03299494531973,4.414961644906563,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,37.88516666666666,111.42744444444445,内蒙古,OP,7.712221755315833,5.54,19.05,501.97054788009274,14.457701962545707,21254.711479166668,529.6690931682649,386.0731897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,37.89811111111111,111.429,内蒙古,OP,7.712221755315833,5.54,19.05,717.1133240558532,23.571798674915023,21254.711479166668,529.6690931682649,385.4681897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,29.603383,102.07085,四川,OP,7.712221755315833,5.54,19.05,111.0134311564386,7.71452667879625,23073.086479166668,544.1066325957588,385.7381897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
